SHEET: OptimalAffinityCalcData
WORKBOOK: Copy of ER - Build Planner v1.19.1.xlsx
USED RANGE: A1:CY58
NONEMPTY CELLS: 1432
FORMULA CELLS: 1255

This file is for an LLM that must rebuild these calculations in another language. Treat formulas as the source of truth. Cached/fallback values are only for checking a port. Skip spill_cache cells; they are not logic.

STATIC / INPUT / LABEL CELLS (177):
coord	value
BY1	overwriteLuckCorrectRate_byFire
BZ1	overwriteLuckCorrectRate_ByThunder
CA1	overwriteLuckCorrectRate_byDark
CB1	PhysAtk
CC1	MagicAtk
CD1	FireAtk
CE1	ThunAtk
CF1	HolyAtk
CG1	TotalAtk
CH1	AtkSplit
CI1	PhysDmg
CJ1	StrikeDmg
CK1	SlashDmg
CL1	PierceDmg
CM1	MagDmg
CN1	FireDmg
CO1	ThunDmg
CP1	HolyDmg
CQ1	TotalDmg
CS1	Weapon Class
CW1	Upgrade Level
CY1	Defaults
CU2	Unarmed
A3	Reinforcement Level
D3	Heavy
F3	Heavy
A4	properStrength
D4	Keen
F4	Keen
A5	properAgility
D5	Quality
F5	Quality
A6	properMagic
D6	Fire
F6	Fire
A7	properFaith
D7	Flame Art
F7	Flame Art
CY7	13.0
A8	properLuck
D8	Lightning
F8	Lightning
CY8	9.0
A9	Strength
D9	Sacred
F9	Sacred
CY9	9.0
A10	Dexterity
D10	Magic
F10	Magic
CY10	7.0
A11	Intelligence
D11	Cold
F11	Cold
A12	Faith
D12	Poison
F12	Poison
CY12	100.0
A13	Arcane
D13	Blood
F13	Blood
A14	2h Toggle
D14	Occult
F14	Occult
A15	Attack MV
A16	PhysAtkType
A18	All Weapon Display
B18	FALSE
A20	Physical Damage Multiplier
A21	Strike Damage Multiplier
A22	Slash Damage Multiplier
A23	Pierce Damage Multiplier
A24	Magic Damage Multiplier
A25	Fire Damage Multiplier
A26	Lightning Damage Multiplier
A27	Holy Damage Multiplier
A29	Average PvE Def/Abs
A30	Physical Defense
A31	Strike Defense
A32	Slash Defense
A33	Pierce Defense
A34	Magic Defense
A35	Fire Defense
A36	Lightning Defense
A37	Holy Defense
A38	PhysicalCutRate
A39	StrikeCutRate
A40	SlashCutRate
A41	PierceCutRate
A42	MagicCutRate
A43	FireCutRate
A44	LightningCutRate
A45	HolyCutRate
A46	Counter Hit
A47	Leo Counter Hit
A48	Frost Debuff
A49	Rain Buff/Debuff
A51	Cannot Have Affinity
A52	Damage
A53	Physical AP
A54	Magic AP
A55	Fire AP
A56	Lightning AP
A57	Holy AP
A58	Total AP

CROSS-SHEET REFERENCES: AttackElementCorrectParam, CalcCorrectGraphEz, EquipParamWeapon, Optimal Affinity Calc, Planner, PlannerData, ReinforceParamWeapon, WeaponData
FORMULA KINDS: excel=1217, excel_compat=2, google_sheets=2, spill_cache=34
UNIQUE PATTERNS: 178

========================================================================
FORMULA PATTERNS (fill-down compressed)
{r} is the row of the cell. Port the template once and apply per row.
========================================================================

PATTERN 1  kind=excel  array=False  CU1
  context_label: Weapon Class
  template: ='Optimal Affinity Calc'!$G$12
  e.g. CU1: ='Optimal Affinity Calc'!$G$12

PATTERN 2  kind=excel_compat  array=True  A2
  array_spill_ref: A2
  template: =IF(ISBLANK('Optimal Affinity Calc'!$G$13),$CY$3,XLOOKUP('Optimal Affinity Calc'!$G$13,WeaponData!$B:$B,WeaponData!$B:$B,"Invalid"))
  note: Stored with Excel _xlfn/_xlws prefix (newer functions like XLOOKUP).
  e.g. A2: =IF(ISBLANK('Optimal Affinity Calc'!$G$13),$CY$3,XLOOKUP('Optimal Affinity Calc'!$G$13,WeaponData!$B:$B,WeaponData!$B:$B,"Invalid"))  cached='Unarmed'

PATTERN 3  kind=excel  array=False  B2
  template: =VLOOKUP($A$2,WeaponData!$B$2:$I58,2,False)
  e.g. B2: =VLOOKUP($A$2,WeaponData!$B$2:$I58,2,False)  cached=110000

PATTERN 4  kind=excel  array=True  D2
  context_label: sort
  array_spill_ref: D2:D58
  template: =IFERROR(
SORT($F$2:$F58,
IF($B$51,$G$2:$G58,
IF($B$52,$CQ$2:$CQ58,
IF($B$53,$CB$2:$CB58,
IF($B$54,$CC$2:$CC58,
IF($B$55,$CD$2:$CD58,
IF($B$56,$CE$2:$CE58,
IF($B$57,$CF$2:$CF58,
IF($B$58,$CG$2:$CG58,
$G$2:$G58)))))))),
IF($B$51,True,False)),
"Invalid")
  e.g. D2: =IFERROR(
SORT($F$2:$F58,
IF($B$51,$G$2:$G58,
IF($B$52,$CQ$2:$CQ58,
IF($B$53,$CB$2:$CB58,
IF($B$54,$CC$2:$CC58,
IF($B$55,$CD$2:$CD58,
IF($B$56,$CE$2:$CE58,
IF($B$57,$CF$2:$CF58,
IF($B$58,$CG$2:$CG58,
$G$2:$G58)))))))),
IF($B$51,True,False)),
"Invalid")  cached='Standard'

PATTERN 5  kind=excel  array=True  F2
  context_label: Affinity
  array_spill_ref: F2:F14
  template: =WeaponData!$O$2:$O$14
  e.g. F2: =WeaponData!$O$2:$O$14  cached='Standard'

PATTERN 6  kind=excel  array=False  G2:G14 (13 cells)
  context_label: ID
  template: =$B$2+VLOOKUP($F{r},WeaponData!$O:$P,2,False)
  e.g. G2: =$B$2+VLOOKUP($F2,WeaponData!$O:$P,2,False)  cached=110000
  e.g. G3: =$B$2+VLOOKUP($F3,WeaponData!$O:$P,2,False)  cached=110100
  e.g. G4: =$B$2+VLOOKUP($F4,WeaponData!$O:$P,2,False)  cached=110200
  ... 10 more of this pattern

PATTERN 7  kind=excel  array=False  H2:H14 (13 cells)
  context_label: reinforceTypeId
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(H$1,EquipParamWeapon!$1:$1,0),False)
  e.g. H2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(H$1,EquipParamWeapon!$1:$1,0),False)  cached=3000
  e.g. H3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(H$1,EquipParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. H4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(H$1,EquipParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 8  kind=excel  array=False  I2:I14 (13 cells)
  context_label: attackElementCorrectId
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(I$1,EquipParamWeapon!$1:$1,0),False)
  e.g. I2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(I$1,EquipParamWeapon!$1:$1,0),False)  cached=10000
  e.g. I3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(I$1,EquipParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. I4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(I$1,EquipParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 9  kind=excel  array=False  J2:J14 (13 cells)
  context_label: attackBasePhysics
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(J$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("physicsAtkRate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. J2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(J$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("physicsAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached=20
  e.g. J3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(J$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("physicsAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. J4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(J$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("physicsAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 10  kind=excel  array=False  K2:K14 (13 cells)
  context_label: attackBaseMagic
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(K$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("magicAtkRate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. K2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(K$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("magicAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached=0
  e.g. K3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(K$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("magicAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. K4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(K$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("magicAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 11  kind=excel  array=False  L2:L14 (13 cells)
  context_label: attackBaseFire
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(L$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("fireAtkRate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. L2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(L$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("fireAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached=0
  e.g. L3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(L$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("fireAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. L4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(L$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("fireAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 12  kind=excel  array=False  M2:M14 (13 cells)
  context_label: attackBaseThunder
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(M$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("thunderAtkRate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. M2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(M$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("thunderAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached=0
  e.g. M3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(M$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("thunderAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. M4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(M$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("thunderAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 13  kind=excel  array=False  N2:N14 (13 cells)
  context_label: attackBaseDark
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(N$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("darkAtkRate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. N2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(N$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("darkAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached=0
  e.g. N3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(N$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("darkAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. N4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(N$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH("darkAtkRate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 14  kind=excel  array=False  O2:O14 (13 cells)
  context_label: correctStrengthRate
  template: =VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(O$1,ReinforceParamWeapon!$1:$1,0),False)
  e.g. O2: =VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(O$1,ReinforceParamWeapon!$1:$1,0),False)  cached=1
  e.g. O3: =VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(O$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. O4: =VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(O$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 15  kind=excel  array=False  P2:P14 (13 cells)
  context_label: correctAgilityRate
  template: =VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(P$1,ReinforceParamWeapon!$1:$1,0),False)
  e.g. P2: =VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(P$1,ReinforceParamWeapon!$1:$1,0),False)  cached=1
  e.g. P3: =VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(P$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. P4: =VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(P$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 16  kind=excel  array=False  Q2:Q14 (13 cells)
  context_label: correctMagicRate
  template: =VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(Q$1,ReinforceParamWeapon!$1:$1,0),False)
  e.g. Q2: =VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(Q$1,ReinforceParamWeapon!$1:$1,0),False)  cached=1
  e.g. Q3: =VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(Q$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. Q4: =VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(Q$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 17  kind=excel  array=False  R2:R14 (13 cells)
  context_label: correctFaithRate
  template: =VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(R$1,ReinforceParamWeapon!$1:$1,0),False)
  e.g. R2: =VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(R$1,ReinforceParamWeapon!$1:$1,0),False)  cached=1
  e.g. R3: =VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(R$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. R4: =VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(R$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 18  kind=excel  array=False  S2:S14 (13 cells)
  context_label: correctLuckRate
  template: =VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(S$1,ReinforceParamWeapon!$1:$1,0),False)
  e.g. S2: =VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(S$1,ReinforceParamWeapon!$1:$1,0),False)  cached=1
  e.g. S3: =VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(S$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. S4: =VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(S$1,ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 19  kind=excel  array=False  T2:T14 (13 cells)
  context_label: correctStrength
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(T$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(T$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. T2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(T$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(T$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached=50
  e.g. T3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(T$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(T$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. T4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(T$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(T$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 20  kind=excel  array=False  U2:U14 (13 cells)
  context_label: correctAgility
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(U$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(U$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. U2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(U$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(U$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached=50
  e.g. U3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(U$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(U$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. U4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(U$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(U$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 21  kind=excel  array=False  V2:V14 (13 cells)
  context_label: correctMagic
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(V$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(V$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. V2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(V$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(V$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached=0
  e.g. V3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(V$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(V$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. V4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(V$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(V$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 22  kind=excel  array=False  W2:W14 (13 cells)
  context_label: correctFaith
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(W$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(W$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. W2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(W$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(W$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached=0
  e.g. W3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(W$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(W$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. W4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(W$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(W$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 23  kind=excel  array=False  X2:X14 (13 cells)
  context_label: correctLuck
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(X$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H{r}+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(X$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)
  e.g. X2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(X$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H2+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(X$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached=0
  e.g. X3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(X$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H3+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(X$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. X4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(X$1,EquipParamWeapon!$1:$1,0),False)
*VLOOKUP($H4+$B$3,ReinforceParamWeapon!$A:$AF,MATCH(X$1&"Rate",ReinforceParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 24  kind=excel  array=False  Y2:Y14 (13 cells)
  context_label: correctType_Physics
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(Y$1,EquipParamWeapon!$1:$1,0),False)
  e.g. Y2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(Y$1,EquipParamWeapon!$1:$1,0),False)  cached=0
  e.g. Y3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(Y$1,EquipParamWeapon!$1:$1,0),False)  cached='#N/A'
  e.g. Y4: =VLOOKUP($G4,EquipParamWeapon!$A$2:$BR58,MATCH(Y$1,EquipParamWeapon!$1:$1,0),False)  cached='#N/A'
  ... 10 more of this pattern

PATTERN 25  kind=excel  array=False  Z2:Z14 (13 cells)
  context_label: correctType_Magic
  template: =VLOOKUP($G{r},EquipParamWeapon!$A$2:$BR58,MATCH(Z$1,EquipParamWeapon!$1:$1,0),False)
  e.g. Z2: =VLOOKUP($G2,EquipParamWeapon!$A$2:$BR58,MATCH(Z$1,EquipParamWeapon!$1:$1,0),False)  cached=0
  e.g. Z3: =VLOOKUP($G3,EquipParamWeapon!$A$2:$BR58,MATCH(Z$1,EquipParamWeapon!$1:$1,0),False)  cached='#N/A'
