,,,sort,,filter,meet requirements,filter2,name,spell buff,int sb,faith sb,bonus type,bonus,,Catalyst,ID,Reinforcement Level,reinforceTypeId,Base SB,correctStrength,correctAgility,correctMagic,correctFaith,correctLuck,correctType_Physics,correctType_Magic,correctType_Fire,correctType_Thunder,correctType_Dark,attackElementCorrectId,StrScale,DexScale,IntScale,FthScale,ArcScale,str sb,dex sb,int sb,faith sb,arcane sb,spell buff,properStrength,properAgility,properMagic,properFaith,properLuck,meet requirements,name,enableMagic,enableMiracle,,Special Reinforcement,StandardReinforcement,,defaults
2h,FALSE,,,,33090000,FALSE,,,,,,,,,Carian Regal Scepter,33090000.0,10,2400,100.0,36,30,288,0,0,15,15,15,15,15,20000,0,0,8.333333333,0,0,100,100,124,100,100,124,8,10,60,0,0,FALSE,Carian Regal Scepter +10,TRUE,FALSE,,10.0,10.0,,
,,,,,33190000,FALSE,,,,,,,,,Albinauric Staff,33190000.0,25,1900,100.0,36,0,90,0,210,12,12,12,12,12,20030,0,0,5.714285714,0,4.285714286,100,100,105.1428571,100,109,114.1428571,6,0,10,0,12,FALSE,Albinauric Staff +25,TRUE,FALSE,,,11.0,,
Spell Buff,TRUE,,,,33280000,FALSE,,,,,,,,,Staff of Loss,33280000.0,25,1900,100.0,36,30,252,0,0,15,15,15,15,15,20000,0,0,8.333333333,0,0,100,100,121,100,100,121,6,12,14,0,0,FALSE,Staff of Loss +25,TRUE,FALSE,,,12.0,,
Int Spell Buff,FALSE,,,,33050000,FALSE,,,,,,,,,Gelmir Glintstone Staff,33050000.0,25,1900,100.0,36,0,120,120,0,12,12,12,12,12,20010,0,0,5.714285714,5.714285714,0,100,100,106.8571429,106.8571429,100,113.7142857,6,0,14,14,0,FALSE,Gelmir Glintstone Staff +25,TRUE,FALSE,,,13.0,,
Faith Spell Buff,FALSE,,,,33040000,FALSE,,,,,,,,,Crystal Staff,33040000.0,10,2400,100.0,75,0,282,0,0,15,15,15,15,15,20000,0,0,8.333333333,0,0,100,100,123.5,100,100,123.5,8,0,48,0,0,FALSE,Crystal Staff +10,TRUE,FALSE,,,14.0,,
,,,,,33270000,FALSE,,,,,,,,,Rotten Crystal Staff,33270000.0,10,2400,100.0,75,0,279,0,0,15,15,15,15,15,20000,0,0,8.333333333,0,0,100,100,123.25,100,100,123.25,8,0,48,0,0,FALSE,Rotten Crystal Staff +10,TRUE,FALSE,,,15.0,,
,,,,,33250000,FALSE,,,,,,,,,Meteorite Staff,33250000.0,0,3000,100.0,25,0,192,0,0,16,16,16,16,16,20000,0,0,9.411764706,0,0,100,100,118.0705882,100,100,118.0705882,6,0,18,0,0,FALSE,Meteorite Staff,TRUE,FALSE,,,16.0,,
,,,,,33260000,FALSE,,,,,,,,,Staff of the Guilty,33260000.0,25,1900,100.0,75,0,0,228,0,16,16,16,16,16,20020,0,0,0,9.411764706,0,100,100,100,121.4588235,100,121.4588235,8,0,0,12,0,FALSE,Staff of the Guilty +25,TRUE,FALSE,,,17.0,,
,,,,,33180000,FALSE,,,,,,,,,Prince of Death's Staff,33180000.0,25,1900,100.0,36,0,174,174,0,15,15,15,15,15,20010,0,0,8.333333333,8.333333333,0,100,100,114.5,114.5,100,129,6,0,18,18,0,FALSE,Prince of Death's Staff +25,TRUE,FALSE,,,18.0,,
,,,,,33520000,FALSE,,,,,,,,,Maternal Staff,33520000.0,25,1900,100.0,36,0,165,0,165,15,15,15,15,15,20030,0,0,8.333333333,0,6.25,100,100,113.75,100,110.3125,124.0625,7,0,21,0,21,FALSE,Maternal Staff +25,TRUE,FALSE,,,19.0,,
,,,,,33510000,FALSE,,,,,,,,,Staff of the Great Beyond,33510000.0,10,2400,100.0,36,0,138,138,0,12,12,12,12,12,20010,0,0,5.714285714,5.714285714,0,100,100,107.8857143,107.8857143,100,115.7714286,7,0,25,25,0,FALSE,Staff of the Great Beyond +10,TRUE,TRUE,,,20.0,,
,,,,,34000000,FALSE,,,,,,,,,Finger Seal,34000000.0,25,1900,100.0,45,0,0,249,0,16,16,16,16,16,30000,0,0,0,9.411764706,0,100,100,100,123.4352941,100,123.4352941,4,0,0,10,0,FALSE,Finger Seal +25,FALSE,TRUE,,,21.0,,
,,,,,34070000,FALSE,,,,,,,,,Erdtree Seal,34070000.0,10,2400,100.0,0,0,0,267,0,15,15,15,15,15,30000,0,0,0,8.333333333,0,100,100,100,122.25,100,122.25,0,0,0,40,0,FALSE,Erdtree Seal +10,FALSE,TRUE,,,22.0,,
,,,,,34060000,FALSE,,,,,,,,,Golden Order Seal,34060000.0,10,2400,100.0,0,0,159,159,0,12,12,12,12,12,30010,0,0,5.714285714,5.714285714,0,100,100,109.0857143,109.0857143,100,118.1714286,0,0,17,17,0,FALSE,Golden Order Seal +10,FALSE,TRUE,,,23.0,,
,,,,,34500000,FALSE,,,,,,,,,Dryleaf Seal,34500000.0,25,1900,100.0,45,0,0,240,0,14,14,14,14,14,30000,0,0,0,16.84210526,0,100,100,100,140.4210526,100,140.4210526,8,0,0,27,0,FALSE,Dryleaf Seal +25,FALSE,TRUE,,,24.0,,
,,,,,34510000,FALSE,,,,,,,,,Fire Knight's Seal,34510000.0,25,1900,100.0,45,0,0,246,0,15,15,15,15,15,30000,0,0,0,8.333333333,0,100,100,100,120.5,100,120.5,8,0,0,23,0,FALSE,Fire Knight's Seal +25,FALSE,TRUE,,,25.0,,
,,,,,34520000,FALSE,,,,,,,,,Spiraltree Seal,34520000.0,25,1900,100.0,45,0,0,228,0,16,16,16,16,16,30000,0,0,0,9.411764706,0,100,100,100,121.4588235,100,121.4588235,8,0,0,17,0,FALSE,Spiraltree Seal +25,FALSE,TRUE,,,,,
,,,,,34030000,FALSE,,,,,,,,,Gravel Stone Seal,34030000.0,25,1900,100.0,45,0,0,243,0,16,16,16,16,16,30000,0,0,0,9.411764706,0,100,100,100,122.8705882,100,122.8705882,4,0,0,18,0,FALSE,Gravel Stone Seal +25,FALSE,TRUE,,,,,
,,,,,34020000,FALSE,,,,,,,,,Giant's Seal,34020000.0,25,1900,100.0,45,0,0,231,0,16,16,16,16,16,30000,0,0,0,9.411764706,0,100,100,100,121.7411765,100,121.7411765,4,0,0,14,0,FALSE,Giant's Seal +25,FALSE,TRUE,,,,,
,,,,,34010000,FALSE,,,,,,,,,Godslayer's Seal,34010000.0,25,1900,100.0,45,0,0,255,0,16,16,16,16,16,30000,0,0,0,9.411764706,0,100,100,100,124,100,124,4,0,0,27,0,FALSE,Godslayer's Seal +25,FALSE,TRUE,,,,,
,,,,,34040000,FALSE,,,,,,,,,Clawmark Seal,34040000.0,25,1900,100.0,120,0,0,120,0,12,12,12,12,12,30020,9.285714286,0,0,5.714285714,0,111.1428571,100,100,106.8571429,100,118,4,0,0,10,0,FALSE,Clawmark Seal +25,FALSE,TRUE,,,,,
,,,,,34090000,TRUE,,,,,,,,,Frenzied Flame Seal,34090000.0,10,2400,100.0,60,60,60,120,0,12,12,12,12,12,30040,9.285714286,8.571428571,5.714285714,5.714285714,0,105.5714286,105.1428571,103.4285714,106.8571429,100,121,0,0,0,0,0,TRUE,Frenzied Flame Seal +10,FALSE,TRUE,,,,,
,,,,,34080000,FALSE,,,,,,,,,Dragon Communion Seal,34080000.0,10,2400,100.0,0,0,0,90,225,12,12,12,12,12,30030,0,0,0,5.714285714,4.285714286,100,100,100,105.1428571,109.6428571,114.7857143,0,0,0,10,10,FALSE,Dragon Communion Seal +10,FALSE,TRUE,,,,,
