Build Select,,Starting Class,,Head,Body,Arms,Legs,,Talismans,,,,,,,Great Rune,,Crystal Tear 1,Crystal Tear 2,,Weapon Class,,,,,,,,,Upgrade Levels,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,weapons,canCast,Catalyst Select,,Spell 1,Spell 2,Spell 3,Spell 4,Spell 5,Spell 6,Spell 7,Spell 8,Spell 9,Spell 10,Spell 11,Spell 12,,Defaults,,
[Default] General Use Caster - Incants RL125,,,,Festive Hood (Altered),Old Aristocrat Gown,Spellblade's Gloves,Mushroom Legs,,Cerulean Amber Medallion +3,1010.0,Cerulean Amber Medallion +2,Cerulean Amber Medallion +2,Cerulean Amber Medallion +2,Cerulean Amber Medallion +2,,Radahn's Great Rune,,Strength-knot Crystal Tear,Strength-knot Crystal Tear,,Backhand Blade,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,,Faith,,
[Default] General Use Caster - Incants RL125 (Fth/Arc),,,,Blue Festive Hood,Page Garb,Alberich's Bracers,Astrologer Trousers,,Cerulean Seed Talisman,5010.0,Cerulean Amber Medallion +3,Cerulean Amber Medallion +3,Cerulean Amber Medallion +3,Cerulean Amber Medallion +3,,Morgott's Great Rune,,Dexterity-knot Crystal Tear,Dexterity-knot Crystal Tear,,Katana,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,,Arcane,,
[Default] PvE - Strength RL100,,,,Guilty Hood,Page Garb (Altered),Preceptor's Gloves,Sorcerer Leggings,,Cerulean Seed Talisman +1,5010.0,Cerulean Seed Talisman,Cerulean Seed Talisman,Cerulean Seed Talisman,Cerulean Seed Talisman,,Mohg's Great Rune,,Intelligence-knot Crystal Tear,Intelligence-knot Crystal Tear,,Great Katana,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,,Head,Empty,Empty
[Default] PvE - Strength RL125,,,,Prisoner Iron Mask,High Page Clothes,High Priest Gloves,Battlemage Legwraps,,Blessed Blue Dew Talisman,8000.0,Cerulean Seed Talisman +1,Cerulean Seed Talisman +1,Cerulean Seed Talisman +1,Cerulean Seed Talisman +1,,Malenia's Great Rune,,Faith-knot Crystal Tear,Faith-knot Crystal Tear,,Twinblade,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,,Chest,Empty,Empty
[Default] PvE - Strength RL150,,,,Blackguard's Iron Mask,High Page Clothes (Altered),Azur's Manchettes,Errant Sorcerer Boots,,Talisman of Lord's Bestowal,8200.0,Blessed Blue Dew Talisman,Blessed Blue Dew Talisman,Blessed Blue Dew Talisman,Blessed Blue Dew Talisman,,,,Opaline Hardtear,Opaline Hardtear,,Axe,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,,Hands,Empty,Empty
[Default] PvE - Dexterity RL100,,,,Bloodsoaked Mask,Guardian Garb,Lusat's Manchettes,Spellblade's Trousers,,Viridian Amber Medallion,1020.0,Talisman of Lord's Bestowal,Talisman of Lord's Bestowal,Talisman of Lord's Bestowal,Talisman of Lord's Bestowal,,,,Speckled Hardtear,Speckled Hardtear,,Greataxe,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,,Legs,Empty,Empty
[Default] PvE - Dexterity RL125,,,,Caterpillar Mask,Guardian Garb (Full Bloom),Queen's Bracelets,Alberich's Trousers,,Viridian Amber Medallion +1,1020.0,Viridian Amber Medallion,Viridian Amber Medallion,Viridian Amber Medallion,Viridian Amber Medallion,,,,Leaden Hardtear,Leaden Hardtear,,Hammer,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,Glintstone Stars,,Talisman 1,Empty,Empty
[Default] PvE - Dexterity RL150,,,,Black Dumpling,Festive Garb,Traveling Maiden Gloves,Preceptor's Trousers,,Viridian Amber Medallion +2,1020.0,Viridian Amber Medallion +1,Viridian Amber Medallion +1,Viridian Amber Medallion +1,Viridian Amber Medallion +1,,,,Deflecting Hardtear,Deflecting Hardtear,,Flail,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,Talisman 2,Empty,Empty
[Default] PvE - Intelligence RL100,,,,Mushroom Head,Festive Garb (Altered),Dryleaf Arm Wraps,Old Sorcerer's Legwraps,,Viridian Amber Medallion +3,1020.0,Viridian Amber Medallion +2,Viridian Amber Medallion +2,Viridian Amber Medallion +2,Viridian Amber Medallion +2,,,,Magic-Shrouding Cracked Tear,Magic-Shrouding Cracked Tear,,Great Hammer,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,Talisman 3,Empty,Empty
[Default] PvE - Intelligence RL125,,,,Mushroom Crown,Blue Festive Garb,Gold Bracelets,Queen's Leggings,,Green Turtle Talisman,1150.0,Viridian Amber Medallion +3,Viridian Amber Medallion +3,Viridian Amber Medallion +3,Viridian Amber Medallion +3,,,,Flame-Shrouding Cracked Tear,Flame-Shrouding Cracked Tear,,Colossal Weapon,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,Talisman 4,Empty,Empty
[Default] PvE - Intelligence RL150,,,,St. Trina's Blossom,Prisoner Clothing,Perfumer Gloves,Snow Witch Skirt,,Two-Headed Turtle Talisman,1150.0,Green Turtle Talisman,Green Turtle Talisman,Green Turtle Talisman,Green Turtle Talisman,,,,Lightning-Shrouding Cracked Tear,Lightning-Shrouding Cracked Tear,,Spear,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,Great Rune,Empty,Empty
[Default] PvE - Faith RL100,,,,Circlet of Light,Braided Cord Robe,Traveler's Gloves,High Priest Undergarments,,Arsenal Charm,1030.0,Two-Headed Turtle Talisman,Two-Headed Turtle Talisman,Two-Headed Turtle Talisman,Two-Headed Turtle Talisman,,,,Holy-Shrouding Cracked Tear,Holy-Shrouding Cracked Tear,,Great Spear,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,Crystal Tear 1,Empty,Empty
[Default] PvE - Faith RL125,,,,Astrologer Hood,Mushroom Body,Depraved Perfumer Gloves,Prophet Trousers,,Arsenal Charm +1,1030.0,Arsenal Charm,Arsenal Charm,Arsenal Charm,Arsenal Charm,,,,Stonebarb Cracked Tear,Stonebarb Cracked Tear,,Halberd,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,Crystal Tear 2,Empty,Empty
[Default] PvE - Faith RL150,,,,Juvenile Scholar Cap,Astrologer Robe,Godskin Apostle Bracelets,Traveling Maiden Boots,,Great-Jar's Arsenal,1030.0,Arsenal Charm +1,Arsenal Charm +1,Arsenal Charm +1,Arsenal Charm +1,,,,Spiked Cracked Tear,Spiked Cracked Tear,,Reaper,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,RH1 Class,,
[Default] PvE - Arcane RL100,,,,Karolos Glintstone Crown,Astrologer Robe (Altered),Godskin Noble Bracelets,Finger Maiden Shoes,,Erdtree's Favor,1040.0,Great-Jar's Arsenal,Great-Jar's Arsenal,Great-Jar's Arsenal,Great-Jar's Arsenal,,,,Thorny Cracked Tear,Thorny Cracked Tear,,Whip,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,RH1 Weapon,Unarmed,Unarmed
[Default] PvE - Arcane RL125,,,,Olivinus Glintstone Crown,Juvenile Scholar Robe,Ansbach's Manchettes,Sage Trousers,,Erdtree's Favor +1,1040.0,Erdtree's Favor,Erdtree's Favor,Erdtree's Favor,Erdtree's Favor,,,,Crimson-Sapping Cracked Tear,Crimson-Sapping Cracked Tear,,Fist,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,RH1 Affinity,Standard,Standard
[Default] PvE - Arcane RL150,,,,Twinsage Glintstone Crown,Raya Lucarian Robe,Leather Gloves,Dryleaf Cuissardes,,Erdtree's Favor +2,1040.0,Erdtree's Favor +1,Erdtree's Favor +1,Erdtree's Favor +1,Erdtree's Favor +1,,,,Cerulean-Sapping Cracked Tear,Cerulean-Sapping Cracked Tear,,Hand-to-Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,RH1 Upgrade,0,0
[Default] PvP - Strength RL125,,,,Witch's Glintstone Crown,Lazuli Robe,Warrior Gauntlets,Gold Waistwrap,,Radagon's Scarseal,1050.0,Erdtree's Favor +2,Erdtree's Favor +2,Erdtree's Favor +2,Erdtree's Favor +2,,,,Bloodsucking Cracked Tear,Bloodsucking Cracked Tear,,Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,RH2 Class,,
[Default] PvP - Strength RL139,,,,Lazuli Glintstone Crown,Battlemage Robe,Noble's Gloves,Perfumer Sarong,,Radagon's Soreseal,1050.0,Radagon's Scarseal,Radagon's Scarseal,Radagon's Scarseal,Radagon's Scarseal,,,,Twiggy Cracked Tear,Twiggy Cracked Tear,,Beast Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,Star Shower,,RH2 Weapon,Unarmed,Unarmed
[Default] PvP - Strength RL150,,,,Haima Glintstone Crown,Errant Sorcerer Robe,War Surgeon Gloves,Traveler's Slops,,Marika's Scarseal,1220.0,Radagon's Soreseal,Radagon's Soreseal,Radagon's Soreseal,Radagon's Soreseal,,,,Winged Crystal Tear,Winged Crystal Tear,,Perfume Bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintstone Arc,Glintstone Arc,Glintstone Arc,Glintstone Arc,Glintstone Arc,Glintstone Arc,Glintstone Arc,Glintstone Arc,Glintstone Arc,Glintstone Arc,Glintstone Arc,Glintstone Arc,,RH2 Affinity,Standard,Standard
[Default] PvP - Dexterity RL125,,,,Hierodas Glintstone Crown,Errant Sorcerer Robe (Altered),Thiollier's Gloves,Depraved Perfumer Trousers,,Marika's Soreseal,1220.0,Marika's Scarseal,Marika's Scarseal,Marika's Scarseal,Marika's Scarseal,,,,Windy Crystal Tear,Windy Crystal Tear,,Light Bow,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystal Barrage,Crystal Barrage,Crystal Barrage,Crystal Barrage,Crystal Barrage,Crystal Barrage,Crystal Barrage,Crystal Barrage,Crystal Barrage,Crystal Barrage,Crystal Barrage,Crystal Barrage,,RH2 Upgrade,0,0
[Default] PvP - Dexterity RL139,,,,Spellblade's Pointed Hat,Spellblade's Traveling Attire,Bandit Manchettes,Consort's Trousers,,Starscourge Heirloom,1060.0,Marika's Soreseal,Marika's Soreseal,Marika's Soreseal,Marika's Soreseal,,,,Glovewort Crystal Tear,Glovewort Crystal Tear,,Bow,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,,RH3 Class,,
[Default] PvP - Dexterity RL150,,,,Alberich's Pointed Hat,Spellblade's Traveling Attire (Altered),Confessor Gloves,Fur Leggings,,Prosthesis-Wearer Heirloom,1070.0,Starscourge Heirloom,Starscourge Heirloom,Starscourge Heirloom,Starscourge Heirloom,,,,Crimson Bubbletear,Crimson Bubbletear,,Greatbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,Crystal Burst,,RH3 Weapon,Unarmed,Unarmed
[Default] PvP - Intelligence RL125,,,,Alberich's Pointed Hat (Altered),Alberich's Robe,Omenkiller Long Gloves,Shaman Leggings,,Stargazer Heirloom,1080.0,Prosthesis-Wearer Heirloom,Prosthesis-Wearer Heirloom,Prosthesis-Wearer Heirloom,Prosthesis-Wearer Heirloom,,,,Crimsonwhorl Bubbletear,Crimsonwhorl Bubbletear,,Crossbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,,RH3 Affinity,Standard,Standard
[Default] PvP - Intelligence RL139,,,,Preceptor's Big Hat,Alberich's Robe (Altered),Gravebird Bracelets,Godskin Apostle Trousers,,Two Fingers Heirloom,1090.0,Stargazer Heirloom,Stargazer Heirloom,Stargazer Heirloom,Stargazer Heirloom,,,,Opaline Bubbletear,Opaline Bubbletear,,Ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,Cannon of Haima,,RH3 Upgrade,0,0
[Default] PvP - Intelligence RL150,,,,Mask of Confidence,Preceptor's Long Gown,Dancer's Bracer,Godskin Noble Trousers,,Outer God Heirloom,8020.0,Two Fingers Heirloom,Two Fingers Heirloom,Two Fingers Heirloom,Two Fingers Heirloom,,,,Cerulean Hidden Tear,Cerulean Hidden Tear,,Glintstone Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,,LH1 Class,,
[Default] PvP - Faith RL125,,,,Azur's Glintstone Crown,Preceptor's Long Gown (Altered),Foot Soldier Gauntlets,Sanguine Noble Waistcloth,,Dragoncrest Shield Talisman,4000.0,Outer God Heirloom,Outer God Heirloom,Outer God Heirloom,Outer God Heirloom,,,,Viridian Hidden Tear,Viridian Hidden Tear,,Sacred Seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,,LH1 Weapon,Unarmed,Unarmed
[Default] PvP - Faith RL139,,,,Lusat's Glintstone Crown,Azur's Glintstone Robe,Highwayman Gauntlets,Ansbach's Boots,,Dragoncrest Shield Talisman +1,4000.0,Dragoncrest Shield Talisman,Dragoncrest Shield Talisman,Dragoncrest Shield Talisman,Dragoncrest Shield Talisman,,,,Purifying Crystal Tear,Purifying Crystal Tear,,Torch,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,,LH1 Affinity,Standard,Standard
[Default] PvP - Faith RL150,,,,Queen's Crescent Crown,Lusat's Robe,Common Soldier Gauntlets,Leather Trousers,,Dragoncrest Shield Talisman +2,4000.0,Dragoncrest Shield Talisman +1,Dragoncrest Shield Talisman +1,Dragoncrest Shield Talisman +1,Dragoncrest Shield Talisman +1,,,,Ruptured Crystal Tear 1,Ruptured Crystal Tear 1,,Small Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,Gavel of Haima,,LH1 Upgrade,0,0
[Default] PvP - Arcane RL125,,,,Snow Witch Hat,Queen's Robe,Vulgar Militia Gauntlets,Leather Boots,,Dragoncrest Greatshield Talisman,4000.0,Dragoncrest Shield Talisman +2,Dragoncrest Shield Talisman +2,Dragoncrest Shield Talisman +2,Dragoncrest Shield Talisman +2,,,,Ruptured Crystal Tear 2,Ruptured Crystal Tear 2,,Medium Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,,LH2 Class,,
[Default] PvP - Arcane RL139,,,,High Priest Hat,Snow Witch Robe,Shadow Militiaman Gauntlets,Warrior Greaves,,Spelldrake Talisman,4010.0,Dragoncrest Greatshield Talisman,Dragoncrest Greatshield Talisman,Dragoncrest Greatshield Talisman,Dragoncrest Greatshield Talisman,,,,Oil-Soaked Tear,Oil-Soaked Tear,,Greatshield,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,,LH2 Weapon,Unarmed,Unarmed
[Default] PvP - Arcane RL150,,,,Fia's Hood,Snow Witch Robe (Altered),Nox Bracelets,Noble's Trousers,,Spelldrake Talisman +1,4010.0,Spelldrake Talisman,Spelldrake Talisman,Spelldrake Talisman,Spelldrake Talisman,,,,,,,Thrusting Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,,LH2 Affinity,Standard,Standard
,,,,Prophet Blindfold,High Priest Robe,Champion Bracers,War Surgeon Trousers,,Spelldrake Talisman +2,4010.0,Spelldrake Talisman +1,Spelldrake Talisman +1,Spelldrake Talisman +1,Spelldrake Talisman +1,,,,,,,Consumable,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,,LH2 Upgrade,0,0
