Name,AtkID,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseDark
Poisoned Stone Clump,10184100.0,32.0,0.0,0.0,0.0,0.0
Explosive Stone,10183000.0,0.0,0.0,108.0,0.0,0.0
Explosive Stone Clump,10183100.0,0.0,0.0,54.0,0.0,0.0
Glintstone Scrap,10305000.0,0.0,82.0,0.0,0.0,0.0
Large Glintstone Scrap,10305100.0,0.0,65.0,0.0,0.0,0.0
Cuckoo Glintstone,10303002.0,0.0,92.0,0.0,0.0,0.0
Glinting Nail,210320000.0,0.0,210.0,0.0,0.0,0.0
Gravity Stone Fan,10306001.0,160.0,50.0,0.0,0.0,0.0
Gravity Stone Chunk,10307001.0,247.0,50.0,0.0,0.0,0.0
Fire Spritestone,210319000.0,0.0,0.0,192.0,0.0,0.0
Spritestone,210300100.0,360.0,0.0,0.0,0.0,0.0
Fire Coil,210318000.0,0.0,0.0,125.0,0.0,0.0
Surging Frenzied Flame,210316000.0,0.0,0.0,165.0,0.0,0.0
Innard Meat,210170000.0,120.0,120.0,0.0,0.0,0.0
Call of Tibia,210315001.0,0.0,200.0,0.0,0.0,0.0
Wraith Calling Bell,10308000.0,0.0,120.0,0.0,0.0,0.0
Ancestral Infant's Head,10300001.0,0.0,55.0,0.0,0.0,0.0
Omen Bairn 1,10301001.0,0.0,0.0,0.0,0.0,105.0
Omen Bairn 2,10301002.0,0.0,0.0,0.0,0.0,70.0
Regal Omen Bairn 1,10301101.0,0.0,0.0,0.0,0.0,115.0
Regal Omen Bairn 2,10301102.0,0.0,0.0,0.0,0.0,60.0
Horned Bairn,210313000.0,0.0,0.0,0.0,0.0,105.0
Perfumed Oil of Ranah,210314000.0,0.0,0.0,300.0,0.0,0.0
Lamenter's Mask - Attack,210203000.0,260.0,0.0,0.0,0.0,0.0
