,,,,,,Base,,Input,,Alter,Total,,Upgrade,,,0.0,Require,-,-,-,-,-,,,,,,-,,Legs,,Empty,,,,,Equip Load,0.0 / 49.8  -  0.0%,,,,
,,,,Vigor,,15,,,,0,15,,RH2 Class,,,,,,,,Guard Stats,,Physical,Magic,Fire,Lightning,Holy,Total,,,,,,,,,Weight Left | Roll,14.9 | Light Load,,,,
,,,,Mind,,10,,,,0,10,,Weapon,,,Unarmed,,,,,FALSE,,23.46,-,-,-,-,23.46,,,,Talismans,,,,,End for Mid Roll,8,,,,
,,,,Endurance,,11,,,,0,11,,Affinity,,,Standard,Scaling,D,D,-,-,-,Status,,,,,SB,,Talisman 1,,Empty,,,,,End for Light Roll,8,,,,
,,,,Strength,,14,,,,0,14,,Upgrade,,,0.0,Require,-,-,-,-,-,,,,,,-,,Talisman 2,,Empty,,,,,Poise (In-Game),0 (0),,,,
,,,,Dexterity,,13,,,,0,13,,RH3 Class,,,,,,,,Guard Stats,,Physical,Magic,Fire,Lightning,Holy,Total,,Talisman 3,,Empty,,,,,Discovery,107,,,,
,,,,Intelligence,,9,,,,0,9,,Weapon,,,Unarmed,,,,,FALSE,,23.46,-,-,-,-,23.46,,Talisman 4,,Empty,,,,,,,,,,
,,,,Faith,,9,,,,0,9,,Affinity,,,Standard,Scaling,D,D,-,-,-,Status,,,,,SB,,,,,,,,,Defense / Dmg Negation,,,,,
,,,,Arcane,,7,,,,0,7,,Upgrade,,,0.0,Require,-,-,-,-,-,,,,,,-,,Great Rune,,Empty,,,,,Physical,79 /,0,,,
,,,,,,,,,,,,,LH1 Class,,,,,,,,Guard Stats,,Physical,Magic,Fire,Lightning,Holy,Total,,Active,,FALSE,,,,,   VS Strike,79 /,0,,,
,,,,Optimal Class,Level,,,,,,,,Weapon,,,Unarmed,,,,,FALSE,,23.46,-,-,-,-,23.46,,,,,,,,,   VS Slash,79 /,0,,,
,,,,Wretch,1,,,,,,,,Affinity,,,Standard,Scaling,D,D,-,-,-,Status,,,,,SB,,Crystal Tear 1,,Empty,,,,,   VS Pierce,79 /,0,,,
,,,,,,,,,,,,,Upgrade,,,0.0,Require,-,-,-,-,-,,,,,,-,,Crystal Tear 2,,Empty,,,,,Magic,93 /,0,,,
,,,,,,,,,,,,,LH2 Class,,,,,,,,Guard Stats,,Physical,Magic,Fire,Lightning,Holy,Total,,Active,,FALSE,,,,,Fire,85 /,0,,,
,,,,,,,,,,,,,Weapon,,,Unarmed,,,,,FALSE,,23.46,-,-,-,-,23.46,,,,,,,,,Lightning,75 /,0,,,
,,,,,,,,,,,,,Affinity,,,Standard,Scaling,D,D,-,-,-,Status,,,,,SB,,2H Weapon,,FALSE,,Raining Dmg Neg,FALSE,,Holy,89 /,0,,,
,,,,,,,,,,,,,Upgrade,,,0.0,Require,-,-,-,-,-,,,,,,-,,PvP,,FALSE,,Wet Dmg Neg,FALSE,,Resistance,,,,,
,,,,,,,,,,,,,LH3 Class,,,,,,,,Guard Stats,,Physical,Magic,Fire,Lightning,Holy,Total,,Low HP,,FALSE,,Ignore Requirements,FALSE,,Immunity,92 /,0,,,
,,,,,,,,,,,,,Weapon,,,Unarmed,,,,,FALSE,,23.46,-,-,-,-,23.46,,Full HP,,FALSE,,Scaling Values,FALSE,,Robustness,92 /,0,,,
,,,,,,,,,,,,,Affinity,,,Standard,Scaling,D,D,-,-,-,Status,,,,,SB,,,,,,Display All Classes,FALSE,,Focus,92 /,0,,,
,,,,,,,,,,,,,Upgrade,,,0.0,Require,-,-,-,-,-,,,,,,-,,,,,,Hide Default Builds,FALSE,,Vitality,99 /,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Memory Slots,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Remaining,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Equipped Select,,No Catalyst Equipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Slots,,FP Cost,Stamina Cost,,Requirements,,,Duration,,,,,,,,,,,,,,,,,,,,
,,,,Spell 1,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 2,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 3,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 4,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 5,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 6,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 7,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 8,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 9,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 10,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 11,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spell 12,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spells,,,,,,,,,,,,Total AP,Physical,Magic,Fire,Lightning,Holy,Heal,Spell Category,,,,,,,Attack Category,,,,,Status,,,Special Effect,,,,
,,,,No Valid Spell/Catalyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
