,,,Type,Planner,ID,,,,,Type,ID,Translation,Affinity,Upgrade,Class,,Starting Class,ID,,Armor,ID,,Talisman,ID,,Great Rune,ID,,Crystal Tear,ID,,Weapon Class,Weapon,ID,isReinforce,isUnique,,Affinity,ID,,Magic,ID
,,,Body,Empty,0,,,,,Body,0,Empty,,,,,,,,Festive Hood (Altered),801000.0,,Cerulean Amber Medallion +2,1012.0,,Radahn's Great Rune,30.0,,Strength-knot Crystal Tear,11021.0,,Dagger,Ivory Sickle,1130000.0,TRUE,FALSE,,Poison,1000.0,,Shard Spiral,4030.0
,,,Arms,Empty,0,,,,,Arms,0,Empty,,,,,,,,Blue Festive Hood,802000.0,,Cerulean Amber Medallion +3,7010.0,,Morgott's Great Rune,40.0,,Dexterity-knot Crystal Tear,11022.0,,Dagger,Crystal Knife,1050000.0,TRUE,FALSE,,Blood,1100.0,,Glintstone Stars,4040.0
,,,Legs,Empty,0,,,,,Legs,0,Empty,,,,,,,,Guilty Hood,160000.0,,Cerulean Seed Talisman,5010.0,,Mohg's Great Rune,50.0,,Intelligence-knot Crystal Tear,11023.0,,Dagger,Scorpion's Stinger,1080000.0,TRUE,TRUE,,Occult,1200.0,,Glintstone Stars,4040.0
,,,Talisman 1,Empty,0,,,,,Talisman 1,0,Empty,,,,,,,,Prisoner Iron Mask,890000.0,,Cerulean Seed Talisman +1,7150.0,,Malenia's Great Rune,60.0,,Faith-knot Crystal Tear,11024.0,,Dagger,Cinquedea,1110000.0,TRUE,TRUE,,,,,Glintstone Stars,4040.0
,,,Talisman 2,,0,,,,,Talisman 2,0,Empty,,,,,,,,Blackguard's Iron Mask,891000.0,,Blessed Blue Dew Talisman,8000.0,,,,,Opaline Hardtear,11011.0,,Dagger,Glintstone Kris,1070000.0,TRUE,TRUE,,,,,Glintstone Stars,4040.0
,,,Talisman 3,,0,,,,,Talisman 3,0,Empty,,,,,,,,Bloodsoaked Mask,964000.0,,Talisman of Lord's Bestowal,8200.0,,,,,Speckled Hardtear,11006.0,,Dagger,Reduvia,1040000.0,TRUE,TRUE,,,,,Glintstone Stars,4040.0
,,,Talisman 4,,0,,,,,Talisman 4,0,Empty,,,,,,,,Caterpillar Mask,5070000.0,,Viridian Amber Medallion,1020.0,,,,,Leaden Hardtear,11018.0,,Dagger,Blade of Calling,1160000.0,TRUE,TRUE,,,,,Glintstone Stars,4040.0
,,,Great Rune,Empty,0,,,,,Great Rune,0,Empty,,,,,,,,Black Dumpling,2020000.0,,Viridian Amber Medallion +1,1021.0,,,,,Deflecting Hardtear,2011070.0,,Dagger,Black Knife,1010000.0,TRUE,TRUE,,,,,Star Shower,4050.0
Starting Class,Vagabond,,RH1 Weapon,Unarmed,1ADB0,,,,,RH1 Weapon,110000,Unarmed,Standard,0,,,,,,Mushroom Head,1130000.0,,Viridian Amber Medallion +2,1022.0,,,,,Magic-Shrouding Cracked Tear,11029.0,,Throwing Blade,Smithscript Dagger,63500000.0,TRUE,FALSE,,,,,Star Shower,4050.0
Vigor,,,RH1 Affinity,0,,,,,,RH2 Weapon,110000,Unarmed,Standard,0,,,,,,Mushroom Crown,2010000.0,,Viridian Amber Medallion +3,7020.0,,,,,Flame-Shrouding Cracked Tear,11028.0,,Straight Sword,Short Sword,2010000.0,TRUE,FALSE,,,,,Star Shower,4050.0
Mind,,,RH1 Upgrade,0,,,,,,RH3 Weapon,110000,Unarmed,Standard,0,,,,,,St. Trina's Blossom,5300000.0,,Green Turtle Talisman,1150.0,,,,,Lightning-Shrouding Cracked Tear,11030.0,,Straight Sword,Longsword,2000000.0,TRUE,FALSE,,,,,Star Shower,4050.0
Endurance,,,RH2 Weapon,Unarmed,1ADB0,,,,,LH1 Weapon,110000,Unarmed,Standard,0,,,,,,Circlet of Light,5272000.0,,Two-Headed Turtle Talisman,7030.0,,,,,Holy-Shrouding Cracked Tear,11031.0,,Straight Sword,Broadsword,2020000.0,TRUE,FALSE,,,,,Star Shower,4050.0
Strength,,,RH2 Affinity,0,,,,,,LH2 Weapon,110000,Unarmed,Standard,0,,,,,,Astrologer Hood,630000.0,,Arsenal Charm,1030.0,,,,,Stonebarb Cracked Tear,11026.0,,Straight Sword,Weathered Straight Sword,2050000.0,TRUE,FALSE,,,,,Star Shower,4050.0
Dexterity,,,RH2 Upgrade,0,,,,,,LH3 Weapon,110000,Unarmed,Standard,0,,,,,,Juvenile Scholar Cap,1030000.0,,Arsenal Charm +1,1031.0,,,,,Spiked Cracked Tear,11014.0,,Straight Sword,Lordsworn's Straight Sword,2040000.0,TRUE,FALSE,,,,,Star Shower,4050.0
Intelligence,,,RH3 Weapon,Unarmed,1ADB0,,,,,Memory Slots,10,10,,,,,,,,Karolos Glintstone Crown,833000.0,,Great-Jar's Arsenal,1032.0,,,,,Thorny Cracked Tear,11013.0,,Straight Sword,Noble's Slender Sword,2230000.0,TRUE,FALSE,,,,,Star Shower,4050.0
Faith,,,RH3 Affinity,0,,,,,,Spell 1,0,Empty,,,,,,,,Olivinus Glintstone Crown,831000.0,,Erdtree's Favor,1040.0,,,,,Crimson-Sapping Cracked Tear,2011020.0,,Straight Sword,Cane Sword,2210000.0,TRUE,FALSE,,,,,Star Shower,4050.0
Arcane,,,RH3 Upgrade,0,,,,,,Spell 2,0,Empty,,,,,,,,Twinsage Glintstone Crown,830000.0,,Erdtree's Favor +1,1041.0,,,,,Cerulean-Sapping Cracked Tear,2011030.0,,Straight Sword,Stone-Sheathed Sword,2540000.0,TRUE,TRUE,,,,,Star Shower,4050.0
Head,,,LH1 Weapon,Unarmed,1ADB0,,,,,Spell 3,0,Empty,,,,,,,,Witch's Glintstone Crown,834000.0,,Erdtree's Favor +2,1042.0,,,,,Bloodsucking Cracked Tear,2011050.0,,Straight Sword,Warhawk's Talon,2240000.0,TRUE,FALSE,,,,,Star Shower,4050.0
Chest,,,LH1 Affinity,0,,,,,,Spell 4,0,Empty,,,,,,,,Lazuli Glintstone Crown,832000.0,,Radagon's Scarseal,1050.0,,,,,Twiggy Cracked Tear,11019.0,,Straight Sword,Lazuli Glintstone Sword,2250000.0,TRUE,TRUE,,,,,Star Shower,4050.0
Hands,,,LH1 Upgrade,0,,,,,,Spell 5,0,Empty,,,,,,,,Haima Glintstone Crown,1000000.0,,Radagon's Soreseal,1051.0,,,,,Winged Crystal Tear,11012.0,,Straight Sword,Carian Knight's Sword,2180000.0,TRUE,TRUE,,,,,Glintstone Arc,4070.0
Legs,,,LH2 Weapon,Unarmed,1ADB0,,,,,Spell 6,0,Empty,,,,,,,,Hierodas Glintstone Crown,990000.0,,Marika's Scarseal,1220.0,,,,,Windy Crystal Tear,11015.0,,Straight Sword,Crystal Sword,2150000.0,TRUE,TRUE,,,,,Crystal Barrage,4060.0
Talisman 1,,,LH2 Affinity,0,,,,,,Spell 7,0,Empty,,,,,,,,Spellblade's Pointed Hat,130000.0,,Marika's Soreseal,1221.0,,,,,Glovewort Crystal Tear,2011060.0,,Straight Sword,Rotten Crystal Sword,2260000.0,TRUE,TRUE,,,,,Crystal Burst,4090.0
Talisman 2,,,LH2 Upgrade,0,,,,,,Spell 8,0,Empty,,,,,,,,Alberich's Pointed Hat,120000.0,,Starscourge Heirloom,1060.0,,,,,Crimson Bubbletear,11007.0,,Straight Sword,Miquellan Knight's Sword,2200000.0,TRUE,TRUE,,,,,Crystal Burst,4090.0
Talisman 3,,,LH3 Weapon,Unarmed,1ADB0,,,,,Spell 9,0,Empty,,,,,,,,Alberich's Pointed Hat (Altered),121000.0,,Prosthesis-Wearer Heirloom,1070.0,,,,,Crimsonwhorl Bubbletear,11020.0,,Straight Sword,Ornamental Straight Sword,2060000.0,TRUE,TRUE,,,,,Cannon of Haima,4080.0
Talisman 4,,,LH3 Affinity,0,,,,,,Spell 10,0,Empty,,,,,,,,Preceptor's Big Hat,910000.0,,Stargazer Heirloom,1080.0,,,,,Opaline Bubbletear,11008.0,,Straight Sword,Golden Epitaph,2070000.0,TRUE,TRUE,,,,,Cannon of Haima,4080.0
Great Rune,,,LH3 Upgrade,0,,,,,,Spell 11,0,Empty,,,,,,,,Mask of Confidence,911000.0,,Two Fingers Heirloom,1090.0,,,,,Cerulean Hidden Tear,11025.0,,Straight Sword,Sword of St. Trina,2190000.0,TRUE,TRUE,,,,,Gavel of Haima,4120.0
RH1 Class,,,Memory Slots,10,A,,,,,Spell 12,0,Empty,,,,,,,,Azur's Glintstone Crown,581000.0,,Outer God Heirloom,8020.0,,,,,Viridian Hidden Tear,2011000.0,,Straight Sword,Velvet Sword of St. Trina,2510000.0,TRUE,TRUE,,,,,Gavel of Haima,4120.0
RH1 Weapon,,,Spell 1,Empty,0,,,,,GR Active,0,FALSE,,,,,,,,Lusat's Glintstone Crown,580000.0,,Dragoncrest Shield Talisman,4000.0,,,,,Purifying Crystal Tear,11027.0,,Straight Sword,Regalia of Eochaid,2220000.0,TRUE,TRUE,,,,,Gavel of Haima,4120.0
RH1 Affinity,,,Spell 2,Empty,0,,,,,2H Weapon,0,FALSE,,,,,,,,Queen's Crescent Crown,510000.0,,Dragoncrest Shield Talisman +1,4001.0,,,,,Ruptured Crystal Tear 1,11016.0,,Straight Sword,Coded Sword,2110000.0,TRUE,TRUE,,,,,Gavel of Haima,4120.0
RH1 Upgrade,,,Spell 3,Empty,0,,,,,PvP,0,FALSE,,,,,,,,Snow Witch Hat,1010000.0,,Dragoncrest Shield Talisman +2,4002.0,,,,,Ruptured Crystal Tear 2,11017.0,,Straight Sword,Sword of Night and Flame,2140000.0,TRUE,TRUE,,,,,Shatter Earth,4100.0
RH2 Class,,,Spell 4,Empty,0,,,,,Low HP,0,FALSE,,,,,,,,High Priest Hat,5060000.0,,Dragoncrest Greatshield Talisman,4003.0,,,,,Oil-Soaked Tear,2011040.0,,Straight Sword,Sword of Light,2550000.0,TRUE,TRUE,,,,,Shatter Earth,4100.0
RH2 Weapon,,,Spell 5,Empty,0,,,,,Full HP,0,FALSE,,,,,,,,Fia's Hood,1940000.0,,Spelldrake Talisman,4010.0,,,,,,,,Straight Sword,Sword of Darkness,2560000.0,TRUE,TRUE,,,,,Shatter Earth,4100.0
RH2 Affinity,,,Spell 6,Empty,0,,,,,Crystal Tear 1,0,Empty,,,,,,,,Prophet Blindfold,620000.0,,Spelldrake Talisman +1,4011.0,,,,,,,,Light Greatsword,Milady,67500000.0,TRUE,FALSE,,,,,Shatter Earth,4100.0
RH2 Upgrade,,,Spell 7,Empty,0,,,,,Crystal Tear 2,0,Empty,,,,,,,,Traveling Maiden Hood,900000.0,,Spelldrake Talisman +2,4012.0,,,,,,,,Light Greatsword,Leda's Sword,67510000.0,TRUE,TRUE,,,,,Shatter Earth,4100.0
RH3 Class,,,Spell 8,Empty,0,,,,,CT Active,0,FALSE,,,,,,,,Finger Maiden Fillet,902000.0,,Spelldrake Talisman +3,7090.0,,,,,,,,Light Greatsword,Rellana's Twin Blades,67520000.0,TRUE,TRUE,,,,,Rock Blaster,4110.0
RH3 Weapon,,,Spell 9,Empty,0,,,,,,,,,,,,,,,Sage Hood,430000.0,,Flamedrake Talisman,4020.0,,,,,,,,Greatsword,Bastard Sword,3000000.0,TRUE,FALSE,,,,,Rock Blaster,4110.0
RH3 Affinity,,,Spell 10,Empty,0,,,,,,,,,,,,,,,Greathood,1600000.0,,Flamedrake Talisman +1,4021.0,,,,,,,,Greatsword,Claymore,3180000.0,TRUE,FALSE,,,,,Rock Blaster,4110.0
RH3 Upgrade,,,Spell 11,Empty,0,,,,,,,,,,,,,,,Dane's Hat,3000000.0,,Flamedrake Talisman +2,4022.0,,,,,,,,Greatsword,Iron Greatsword,3020000.0,TRUE,FALSE,,,,,Rock Blaster,4110.0
LH1 Class,,,Spell 12,Empty,0,,,,,,,,,,,,,,,Radiant Gold Mask,1040000.0,,Flamedrake Talisman +3,7100.0,,,,,,,,Greatsword,Lordsworn's Greatsword,3030000.0,TRUE,FALSE,,,,,Scholar's Armament,4460.0
LH1 Weapon,,,GR Active,FALSE,0,,,,,,,,,,,,,,,Perfumer Hood,90000.0,,Boltdrake Talisman,4030.0,,,,,,,,Greatsword,Knight's Greatsword,3040000.0,TRUE,FALSE,,,,,Scholar's Shield,4470.0
LH1 Affinity,,,2H Weapon,FALSE,0,,,,,,,,,,,,,,,Traveler's Hat,100000.0,,Boltdrake Talisman +1,4031.0,,,,,,,,Greatsword,Banished Knight's Greatsword,3080000.0,TRUE,FALSE,,,,,Starlight,4140.0
LH1 Upgrade,,,PvP,FALSE,0,,,,,,,,,,,,,,,Depraved Perfumer Headscarf,540000.0,,Boltdrake Talisman +2,4032.0,,,,,,,,Greatsword,Forked Greatsword,3010000.0,TRUE,FALSE,,,,,Terra Magica,4130.0
LH2 Class,,,Low HP,FALSE,0,,,,,,,,,,,,,,,Ruler's Mask,961000.0,,Boltdrake Talisman +3,7110.0,,,,,,,,Greatsword,Lizard Greatsword,3520000.0,TRUE,FALSE,,,,,Thops's Barrier,4630.0
LH2 Weapon,,,Full HP,FALSE,0,,,,,,,,,,,,,,,Consort's Mask,960000.0,,Haligdrake Talisman,4040.0,,,,,,,,Greatsword,Flamberge,3050000.0,TRUE,FALSE,,,,,Comet Azur,4200.0
LH2 Affinity,,,Crystal Tear 1,Empty,0,,,,,,,,,,,,,,,Marais Mask,963000.0,,Haligdrake Talisman +1,4041.0,,,,,,,,Greatsword,Gargoyle's Greatsword,3190000.0,TRUE,FALSE,,,,,Comet Azur,4200.0
LH2 Upgrade,,,Crystal Tear 2,Empty,0,,,,,,,,,,,,,,,Great Horned Headband,300000.0,,Haligdrake Talisman +2,4042.0,,,,,,,,Greatsword,Gargoyle's Blackblade,3210000.0,TRUE,TRUE,,,,,Comet Azur,4200.0
LH3 Class,,,CT Active,FALSE,0,,,,,,,,,,,,,,,Shining Horned Headband,301000.0,,Golden Braid,7120.0,,,,,,,,Greatsword,Inseparable Sword,2090000.0,TRUE,TRUE,,,,,Comet Azur,4200.0
LH3 Weapon,,,,,,,,,,,,,,,,,,,,Godskin Apostle Hood,520000.0,,Pearldrake Talisman,4050.0,,,,,,,,Greatsword,Sword of Milos,3160000.0,TRUE,TRUE,,,,,Comet Azur,4200.0
LH3 Affinity,,,,,,,,,,,,,,,,,,,,Godskin Noble Hood,530000.0,,Pearldrake Talisman +1,4051.0,,,,,,,,Greatsword,Marais Executioner's Sword,3150000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
LH3 Upgrade,,,,,,,,,,,,,,,,,,,,Sanguine Noble Hood,320000.0,,Pearldrake Talisman +2,4052.0,,,,,,,,Greatsword,Greatsword of Solitude,3550000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Memory Slots,,,,,,,,,,,,,,,,,,,,Wise Man's Mask,5110000.0,,Pearldrake Talisman +3,7130.0,,,,,,,,Greatsword,Ordovis's Greatsword,3060000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Spell 1,,,,,,,,,,,,,,,,,,,,Crimson Tear Scarab,1910000.0,,Immunizing Horn Charm,1170.0,,,,,,,,Greatsword,Alabaster Lord's Sword,3070000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Spell 2,,,,,,,,,,,,,,,,,,,,Cerulean Tear Scarab,1920000.0,,Immunizing Horn Charm +1,1171.0,,,,,,,,Greatsword,Death's Poker,3200000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Spell 3,,,,,,,,,,,,,,,,,,,,Ash-of-War Scarab,1900000.0,,Immunizing Horn Charm +2,7050.0,,,,,,,,Greatsword,Helphen's Steeple,3130000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Spell 4,,,,,,,,,,,,,,,,,,,,Glintstone Scarab,1902000.0,,Stalwart Horn Charm,1160.0,,,,,,,,Greatsword,Blasphemous Blade,3140000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Spell 5,,,,,,,,,,,,,,,,,,,,Incantation Scarab,1901000.0,,Stalwart Horn Charm +1,1161.0,,,,,,,,Greatsword,Golden Order Greatsword,3170000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Spell 6,,,,,,,,,,,,,,,,,,,,Imp Head (Cat),1080000.0,,Stalwart Horn Charm +2,7040.0,,,,,,,,Greatsword,Dark Moon Greatsword,3090000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Spell 7,,,,,,,,,,,,,,,,,,,,Imp Head (Wolf),1084000.0,,Clarifying Horn Charm,1180.0,,,,,,,,Greatsword,Greatsword of Damnation,3510000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Spell 8,,,,,,,,,,,,,,,,,,,,Imp Head (Fanged),1081000.0,,Clarifying Horn Charm +1,1181.0,,,,,,,,Greatsword,Sacred Relic Sword,3100000.0,TRUE,TRUE,,,,,Stars of Ruin,4220.0
Spell 9,,,,,,,,,,,,,,,,,,,,Imp Head (Long-Tongued),1082000.0,,Clarifying Horn Charm +2,7060.0,,,,,,,,Colossal Sword,Zweihander,4040000.0,TRUE,FALSE,,,,,Stars of Ruin,4220.0
Spell 10,,,,,,,,,,,,,,,,,,,,Imp Head (Corpse),1083000.0,,Mottled Necklace,1200.0,,,,,,,,Colossal Sword,Greatsword,4000000.0,TRUE,FALSE,,,,,Stars of Ruin,4220.0
Spell 11,,,,,,,,,,,,,,,,,,,,Imp Head (Elder),1085000.0,,Mottled Necklace +1,1201.0,,,,,,,,Colossal Sword,Watchdog's Greatsword,4010000.0,TRUE,FALSE,,,,,Stars of Ruin,4220.0
Spell 12,,,,,,,,,,,,,,,,,,,,Imp Head (Lion),5330000.0,,Mottled Necklace +2,7080.0,,,,,,,,Colossal Sword,Fire Knight's Greatsword,4520000.0,TRUE,FALSE,,,,,Stars of Ruin,4220.0
GR Active,FALSE,,,,,,,,,,,,,,,,,,,Nox Mirrorhelm,1300000.0,,Prince of Death's Pustule,1190.0,,,,,,,,Colossal Sword,Troll's Golden Sword,4030000.0,TRUE,FALSE,,,,,Stars of Ruin,4220.0
2H Weapon,FALSE,,,,,,,,,,,,,,,,,,,Iji's Mirrorhelm,1301000.0,,Prince of Death's Cyst,1191.0,,,,,,,,Colossal Sword,Troll Knight's Sword,4110000.0,TRUE,TRUE,,,,,Founding Rain of Stars,4210.0
PvP,FALSE,,,,,,,,,,,,,,,,,,,Silver Tear Mask,1090000.0,,Ailment Talisman,8120.0,,,,,,,,Colossal Sword,Moonrithyll's Knight Sword,4540000.0,TRUE,TRUE,,,,,Founding Rain of Stars,4210.0
Low HP,FALSE,,,,,,,,,,,,,,,,,,,Envoy Crown,820000.0,,Dagger Talisman,2090.0,,,,,,,,Colossal Sword,Royal Greatsword,4060000.0,TRUE,TRUE,,,,,Magic Glintblade,4390.0
Full HP,FALSE,,,,,,,,,,,,,,,,,,,Octopus Head,1110000.0,,Curved Sword Talisman,2200.0,,,,,,,,Colossal Sword,Grafted Blade Greatsword,4100000.0,TRUE,TRUE,,,,,Magic Glintblade,4390.0
Crystal Tear 1,,,,,,,,,,,,,,,,,,,,Jar,1120000.0,,Twinblade Talisman,2120.0,,,,,,,,Colossal Sword,Ruins Greatsword,4080000.0,TRUE,TRUE,,,,,Glintblade Trio,2004310.0
Crystal Tear 2,,,,,,,,,,,,,,,,,,,,Greatjar,5320000.0,,Axe Talisman,2130.0,,,,,,,,Colossal Sword,Ancient Meteoric Ore Greatsword,4500000.0,TRUE,TRUE,,,,,Glintblade Trio,2004310.0
CT Active,FALSE,,,,,,,,,,,,,,,,,,,Albinauric Mask,1060000.0,,Hammer Talisman,2070.0,,,,,,,,Colossal Sword,Starscourge Greatsword,4050000.0,TRUE,TRUE,,,,,Glintblade Phalanx,4300.0
,,,,,,,,,,,,,,,,,,,,Black Wolf Mask,170000.0,,Spear Talisman,2060.0,,,,,,,,Colossal Sword,Greatsword of Radahn (Lord),4530000.0,TRUE,TRUE,,,,,Glintblade Phalanx,4300.0
,,,,,,,,,,,,,,,,,,,,Blue Cloth Cowl,670000.0,,Lance Talisman,2140.0,,,,,,,,Colossal Sword,Greatsword of Radahn (Light),4550000.0,TRUE,TRUE,,,,,Carian Phalanx,4301.0
,,,,,,,,,,,,,,,,,,,,Crimson Hood,740000.0,,Claw Talisman,2180.0,,,,,,,,Colossal Sword,Godslayer's Greatsword,4070000.0,TRUE,TRUE,,,,,Carian Phalanx,4301.0
,,,,,,,,,,,,,,,,,,,,Navy Hood,741000.0,,Two-Handed Sword Talisman,8040.0,,,,,,,,Colossal Sword,Maliketh's Black Blade,4020000.0,TRUE,TRUE,,,,,Greatblade Phalanx,4302.0
,,,,,,,,,,,,,,,,,,,,White Mask,680000.0,,Greatshield Talisman,4100.0,,,,,,,,Thrusting Sword,Rapier,5020000.0,TRUE,FALSE,,,,,Greatblade Phalanx,4302.0
,,,,,,,,,,,,,,,,,,,,Thiollier's Mask,5030000.0,,Pearl Shield Talisman,8090.0,,,,,,,,Thrusting Sword,Estoc,5000000.0,TRUE,FALSE,,,,,Magic Downpour,4370.0
,,,,,,,,,,,,,,,,,,,,Nomadic Merchant's Chapeau,250000.0,,Retaliatory Crossed-Tree,8130.0,,,,,,,,Thrusting Sword,Noble's Estoc,5060000.0,TRUE,FALSE,,,,,Magic Downpour,4370.0
,,,,,,,,,,,,,,,,,,,,Bandit Mask,1401000.0,,Lacerating Crossed-Tree,8140.0,,,,,,,,Thrusting Sword,Cleanrot Knight's Sword,5010000.0,TRUE,FALSE,,,,,Magic Downpour,4370.0
,,,,,,,,,,,,,,,,,,,,Black Hood,1400000.0,,Arrow's Sting Talisman,2150.0,,,,,,,,Thrusting Sword,Rogier's Rapier,5030000.0,TRUE,FALSE,,,,,Magic Downpour,4370.0
,,,,,,,,,,,,,,,,,,,,Confessor Hood,880000.0,,Arrow's Reach Talisman,2100.0,,,,,,,,Thrusting Sword,Antspur Rapier,5040000.0,TRUE,FALSE,,,,,Loretta's Greatbow,4380.0
,,,,,,,,,,,,,,,,,,,,Confessor Hood (Altered),881000.0,,Arrow's Soaring Sting Talisman,8070.0,,,,,,,,Thrusting Sword,Frozen Needle,5050000.0,TRUE,TRUE,,,,,Loretta's Greatbow,4380.0
,,,,,,,,,,,,,,,,,,,,Omensmirk Mask,1890000.0,,Sharpshot Talisman,8150.0,,,,,,,,Thrusting Sword,Carian Sorcery Sword,2530000.0,TRUE,FALSE,,,,,Loretta's Mastery,4381.0
,,,,,,,,,,,,,,,,,,,,Skeletal Mask,930000.0,,Graven-School Talisman,3000.0,,,,,,,,Heavy Thrusting Sword,Great Épée,6020000.0,TRUE,FALSE,,,,,Loretta's Mastery,4381.0
,,,,,,,,,,,,,,,,,,,,Gravebird Helm,5230000.0,,Graven-Mass Talisman,3001.0,,,,,,,,Heavy Thrusting Sword,Godskin Stitcher,6010000.0,TRUE,FALSE,,,,,Rennala's Full Moon,4360.0
