,Upload builds with this link,Grab the Build ID for a build you want to upload from the Builds page,,
2022-11-21 00:00:00,Aid,137,DEX,A-3C-0-1F-14-46-0-0-0-113E10-E3134-A8818-113F3C-412-408-884-4E2-0-220961-1ADB0-1ADB0-220961-1ADB0-1ADB0-A-1AB8-193C-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0
2023-04-18 00:00:00,chronofreak,150,"Dual Giant-Crushers (Raptor of the Mists, Royal Knight's Resolve)",1E-3C-C-24-4E-0-0-F-C-1CD6D0-E3134-81718-16E48C-884-4BA-408-412-28-160A1ED-1ADB0-1ADB0-160A1ED-2082C1A-1ADB0-A-17A2-1AB8-193C-1932-1946-1950-1928-1798-1B6C-1B76-0-0-0-0-0-0-0-2B12-2B02-0
2022-06-16 00:00:00,Cryptid Tracker,125,Dual Vyke's War Spear v1,A-3C-0-1F-13-32-0-12-0-BE6E0-BE744-BE7A8-2240C-0-0-408-412-0-104299A-1ADB0-1ADB0-104299A-2082C1A-1ADB0-A-1AB8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
2022-07-22 00:00:00,Emerald Wolf,125,ERPvPcord Legal Optimal PSSS,64-3C-0-12-0-0-0-4C-0-E7EF0-BE744-0-BE80C-3EA-412-4E2-821-0-20323A-1ADB0-1ADB0-20323A-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0
2022-05-04 00:00:00,Hv,125,Generic Str Optimized Armor 61poise,A-3C-0-20-3C-11-0-0-0-DBBA0-BE744-99DB8-BE80C-0-0-0-412-0-1ADB0-1ADB0-1ADB0-1ADB0-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
2022-12-26 00:00:00,Zanogre,125,"Greatbow Focused, Str with a Halberd, 81 Poise",A-3C-0-2E-2B-14-0-0-0-31128-BE744-223A8-BE80C-866-4CF-3EA-412-0-1131F59-1ADB0-1ADB0-281059A-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0
2022-06-13 00:00:00,Leon,150,Invincible Greatshield + Bolt Of Gransax Strength/Dex Build,A-28-1A-1E-30-3C-9-9-7-108A60-8DA04-7F008-2240C-1784-1004-C12-4CF-1E-F5839A-1ADB0-1ADB0-1EA43E9-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
2024-07-05 00:00:00,Zano,40,Light roll ,A-23-D-B-F-14-0-0-0-249F0-3A9E4-3AA48-24B1C-41B-4E2-1784-47E-0-8A65B3-FB907-1ADB0-8A8CC7-1C9C6A7-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0
2022-09-12 00:00:00,Emerald Wolf,125,Meta 2022,1E-36-0-36-30-D-0-0-0-222E0-22344-223A8-2240C-408-412-3EA-4BA-0-4C72CD-1ADB0-1ADB0-1EA43E9-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
2022-06-24 00:00:00,Mini-Mohg,150,Mini-Mohg,1E-3C-14-12-17-E-7-11-46-1CD6D0-75364-223A8-2240C-3EA-408-FA3-870-0-1038D5A-1ADB0-1ADB0-208050A-1ADB0-1ADB0-A-189C-18A6-18B0-1C2A-1B94-1B58-1B6C-1B80-1B76-1B62-0-0-0-0-0-0-0
2022-06-24 00:00:00,Mirai,150,Mirai,3C-3C-14-14-14-3C-7-20-A-30D40-30DA4-BE7A8-139AC-408-3EA-4CF-80C-0-F5839A-1ADB0-1ADB0-2082C1A-1ADB0-1ADB0-A-18B0-1B30-186A-1C98-1C8E-1C84-1916-190A-0-0-0-0-0-1-0-0-0
2022-12-01 00:00:00,Eggwo,150,Moonlit Paladin Level 150 Build,50-3C-14-11-16-F-50-0-0-5A550-41F14-530E8-3F8CC-408-412-4BA-C12-0-2F265A-1ADB0-1ADB0-1FB0CBA-1ADB0-1ADB0-A-1158-1162-1271-10CD-1072-122A-1109-0-0-0-0-0-0-1-1-0-0
2022-06-24 00:00:00,Mordicar,150,Mordicar,50-3C-19-19-1A-12-3C-6-9-B98C0-382D4-38338-3839C-408-4BA-4CF-BB9-0-3DF36A-1ADB0-1ADB0-1FA2269-1ADB0-1ADB0-A-10CC-1018-10CE-1144-113A-114F-1130-111C-111D-120C-0-0-0-1-0-0-0
2022-07-13 00:00:00,Leon,150,NightWielder Build With Twist,50-2C-24-17-E-11-50-0-0-B98C0-382D4-38338-3839C-7D0-BB9-FA3-802-0-5BB7C9-1FBD019-1ADB0-1FBD019-1ADB0-1ADB0-A-1202-120C-1266-1022-1018-0-0-0-0-0-0-0-0-0-0-0-0
2022-07-22 00:00:00,Emerald Wolf,125,Optimal 125 Bleed PvP,1E-3B-0-23-10-14-0-0-32-A6040-22344-223A8-2240C-870-3EA-408-412-0-F5D679-1ADB0-1ADB0-F5D679-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0
2022-07-22 00:00:00,Emerald Wolf,150,Optimal 150 Bleed PvE,1E-3C-0-21-11-32-0-0-2D-A6040-E3134-223A8-2240C-821-4E2-884-870-1E-98C1F5-1ADB0-1ADB0-98C1F5-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0
2022-07-22 00:00:00,Emerald Wolf,125,Optimal Morgott's Cursed Sword,1E-3C-0-11-E-2A-0-0-2D-0-BE744-0-ECE3C-802-3EA-FFA-412-0-7B98AA-1ADB0-1ADB0-1ADB0-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-0
2023-01-11 00:00:00,Amulya,137,Optimised STR+LIGHT ROLL build 137,A-3C-0-38-32-F-0-0-0-1CD6D0-1BA29C-81718-41FDC-408-412-4BA-80C-0-103DB7A-1ADB0-1ADB0-1ADB0-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0
2023-02-01 00:00:00,Amulya,125,Pure INT Spellcaster 125,32-3A-15-11-0-0-48-0-0-7C830-41F14-8B358-57F6C-408-412-BB9-438-0-1FB0CBA-1ADB0-1ADB0-1F8E9DA-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
2023-11-08 00:00:00,Soulcial,125,PvE - Glintstone Kris RL125,50-3C-F-D-B-14-46-6-9-1FBD0-ECD74-1FC98-1FCFC-C12-7D0-802-4CF-1E-1053BA-1ADB0-1ADB0-1F8E9DA-1ADB0-1ADB0-A-1022-1109-1018-111C-0-0-0-0-0-0-0-0-1-0-0-0-1-2B15-2B0F-1
2022-11-01 00:00:00,Funkmachine ,55,Rl55 death blight invader,32-1E-F-0-0-F-12-1E-0-0-1D9A84-0-D95BC-4E2-438-41B-BFE-0-6C5666-4982C-4982C-1F84D9F-207B6E6-D32E8-A-FAA-139C-1A2D-19C8-0-0-0-0-0-0-0-0-0-1-0-0-0
2022-09-22 00:00:00,Amulya,90,Spell Blade Moonveil+ Cold zwei,A-32-0-12-13-12-26-0-0-F1B30-BE744-24AB8-BE80C-BFE-412-408-80C-0-3DA8D5-1ADB0-1ADB0-1ADB0-1ADB0-1ADB0-A-1158-1162-114F-FD2-FAA-FF0-114E-0-0-0-0-0-0-1-1-0-0
2022-12-26 00:00:00,Zanogre,125,"Str/Fai with some fashion, Trolls Greatsword + whatever miracles 25 fai can buy you",3C-3C-F-18-35-A-0-19-0-BBFD0-92C0C-705A8-9EC3C-852-BFE-3EA-412-0-3D8105-1ADB0-1ADB0-20768D9-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
2022-10-21 00:00:00,Amulya,137,Strength 137 (100+ poise),A-3C-A-2A-3D-12-0-0-0-0-41F14-57F08-2240C-412-884-4CF-4BA-0-15EF3D9-1ADB0-1ADB0-1ADB0-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
2022-09-22 00:00:00,Amulya,125,Strength Faith 125,A-3C-0-19-1E-10-0-2F-0-0-BE744-24AB8-BE80C-BFE-412-408-884-0-B9B31A-1ADB0-1ADB0-B9B31A-206F3A9-1ADB0-A-1AFE-1770-1771-1B8A-1AB8-17D4-18BA-0-0-0-0-0-0-0-1-0-0
2022-08-10 00:00:00,Friedslick6,100,The Thermal Griller v3 (1.05),3C-18-11-17-11-1D-7-1C-22-A6040-E3134-9C4C8-2240C-412-FA3-41B-4BA-A-98C12D-FB789-1ADB0-208050A-98C1F5-1ADB0-8-1798-1C2A-1771-1842-1856-1C98-19C8-17A2-0-0-0-0-0-0-0-0-0
2023-04-18 00:00:00,chronofreak,150,Throwing Pots and Jump Attacks,A-3C-A-12-32-32-1-19-1-111700-E3134-24AB8-690DC-8A2-7E4-884-802-A-7A873A-2082C1A-1ADB0-1EA1CCA-CAA30-CB200-A-1AB8-19C8-17A2-186A-1B30-18BA-17AC-1EDF-1950-1798-0-0-0-0-0-0-0-2B14-2B16-0
2022-06-24 00:00:00,Valdir,200,Valdir200,32-32-25-A-C-C-46-46-12-1D4C0-24A54-24AB8-24B1C-FA3-BFE-802-3EA-0-20A76A-1FA4979-207B6EA-1DBEC09-1ADB0-1ADB0-A-120C-1389-114F-1018-1C98-1770-1784-1AF4-1AFE-1A2D-0-0-0-0-0-0-0
2024-02-28 00:00:00,willowy_wisp,150,Vyke War Spear,14-3C-14-14-E-3C-A-23-A-1ED2A0-E3134-19F168-19F1CC-BEA-412-0-0-0-104299A-1ADB0-1ADB0-2082C1A-10477C9-1ADB0-A-1CA2-1C8E-1C98-1C84-1C8F-19C8-0-0-0-0-0-0-0-1-0-0-0-0-0-0
2022-12-26 00:00:00,Zanogre,125,"Zanogre, Versatile Dex",A-3C-0-1D-14-3C-0-0-0-31128-9CA4-223A8-139AC-80C-4BA-3EA-412-0-3DA7B1-1ADB0-1ADB0-1ED511-2082C1A-1ADB0-A-1798-1AB8-1A90-0-0-0-0-0-0-0-0-0-0-0-0-0-0
