[Default] PvE - Dexterity RL100,46-3C-0-D-0-3A-0-0-0-C350-E833C-81718-2993C-821-4E2-FA3-412-0-6B6CE1-1ADB0-1ADB0-6B6CE1-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Dexterity RL125,46-3C-0-1D-0-43-0-0-0-8B290-41F14-81718-41FDC-821-4E2-FA3-4BA-0-6B6CE1-1ADB0-1ADB0-6B6CE1-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Dexterity RL150,46-3C-0-1D-0-49-0-1B-0-8B290-41F14-81718-41FDC-821-4E2-FA3-4BA-0-6B6CE1-1ADB0-1ADB0-6B6CE1-2082C1A-1ADB0-A-17A2-195A-17AC-18BA-1EDF-19C8-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Intelligence RL100,32-3C-13-D-C-A-2F-0-0-7C830-E833C-FDF48-41FDC-BB9-4CF-7D0-FA3-0-F49949-1ADB0-1ADB0-1FA9799-1ADB0-1ADB0-A-1158-1144-1022-111C-116C-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Intelligence RL125,32-3C-17-E-C-A-43-0-0-7C830-E833C-FDF48-41FDC-BB9-4CF-7D0-FA3-0-F49949-1ADB0-1ADB0-1FB33CA-1ADB0-1ADB0-A-1158-1109-1022-111C-116C-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Intelligence RL150,32-3C-26-E-C-11-4D-0-0-7C830-E833C-FDF48-41FDC-BB9-4CF-7D0-FA3-0-F49949-1ADB0-1ADB0-1FB33CA-1ADB0-1ADB0-A-1158-1109-1022-111C-116C-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Faith RL100,3C-3C-14-A-0-0-0-33-0-1BC560-E833C-81718-2993C-BEA-BE0-FA3-4CF-0-20323A-1ADB0-1ADB0-206F3A9-1ADB0-1ADB0-A-1770-1C8E-1C98-1AFE-19C8-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Faith RL125,A-3C-14-13-10-F-0-3A-0-1BC560-E833C-81718-2993C-BEA-BE0-FA3-4CF-0-2FE9AA-1ADB0-1ADB0-206F3A9-1ADB0-1ADB0-A-1770-1C8E-1C98-1AFE-19C8-0-0-0-0-0-0-0-0-1-0-0-0
[Default] PvE - Faith RL150,A-3C-14-12-16-F-0-4E-0-1BC560-E833C-81718-2993C-BEA-BE0-FA3-4CF-0-2FE9AA-1ADB0-1ADB0-207DDFA-1ADB0-1ADB0-A-1770-1C8E-1C98-1AFE-19C8-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Arcane RL100,1E-3C-0-11-0-0-0-0-35-A6040-E3134-41F78-41FDC-870-884-4E2-821-0-6C0D09-1ADB0-1ADB0-6C0D09-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Arcane RL125,1E-3C-0-11-0-0-0-0-4E-A6040-E3134-41F78-41FDC-870-884-4E2-821-0-6C0D09-1ADB0-1ADB0-6C0D09-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvE - Arcane RL150,3C-3C-C-11-0-0-0-1E-50-A6040-E3134-41F78-41FDC-870-884-4E2-821-0-6C0D09-2082C1A-1ADB0-6C0D09-208050A-1ADB0-A-17A2-18BA-17AC-1946-195A-1BB2-19C8-1874-1B6C-0-0-0-0-0-0-0-0
[Default] PvP - Strength RL125,A-3C-0-1F-3D-E-0-C-0-1CD6D0-41F14-33518-2240C-412-3EA-4BA-408-0-104511D-1ADB0-1ADB0-104511D-20768D9-1ADB0-A-193C-1932-1946-1950-1A90-1AB8-0-0-0-0-0-0-0-0-0-0-0
[Default] PvP - Strength RL139,A-3C-0-1F-49-10-0-C-0-1CD6D0-41F14-33518-2240C-412-3EA-4BA-408-0-104511D-1ADB0-1ADB0-104511D-20768D9-1ADB0-A-193C-1932-1946-1950-1A90-1AB8-0-0-0-0-0-0-0-0-0-0-0
[Default] PvP - Strength RL150,A-3C-0-1E-50-12-0-F-0-8B290-41F14-33518-41FDC-412-3EA-4BA-408-0-104511D-1ADB0-1ADB0-104511D-20768D9-1ADB0-A-193C-1932-1946-1950-1A90-1AB8-17A2-0-0-0-0-0-0-0-0-0-0
[Default] PvP - Dexterity RL125,A-3C-0-19-F-3C-0-12-0-8B290-41F14-33518-41FDC-3EA-412-4BA-408-0-10477C9-1ADB0-1ADB0-10477C9-2082C1A-1ADB0-A-193C-1932-1946-1950-1AB8-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvP - Dexterity RL139,A-3C-0-19-F-4A-0-12-0-8B290-41F14-33518-41FDC-3EA-412-4BA-408-0-10477C9-1ADB0-1ADB0-10477C9-2082C1A-1ADB0-A-193C-1932-1946-1950-1AB8-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvP - Dexterity RL150,A-3C-0-19-F-4F-0-18-0-8B290-41F14-33518-41FDC-3EA-412-4BA-408-0-10477C9-1ADB0-1ADB0-10477C9-2082C1A-1ADB0-A-18BA-17AC-1EDF-1950-1AB8-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvP - Intelligence RL125,32-39-14-E-0-0-4D-0-0-7C830-41F14-33518-A3A5C-3EA-412-4BA-BFE-0-1FB33CA-1ADB0-1ADB0-1FB0CBA-2082C1A-1ADB0-A-1158-FD2-FA0-1022-1A4A-0-0-0-0-0-0-0-0-1-0-0-0
[Default] PvP - Intelligence RL139,32-3A-14-18-0-0-50-0-0-8B290-41F14-33518-41FDC-3EA-412-4BA-BFE-0-1FB33CA-1ADB0-1ADB0-1FB0CBA-2082C1A-1ADB0-A-1158-FD2-FA0-1022-1A4A-0-0-0-0-0-0-0-0-1-0-0-0
[Default] PvP - Intelligence RL150,32-3C-19-18-B-D-50-0-0-8B290-41F14-33518-41FDC-3EA-412-4BA-BFE-0-1FB33CA-1ADB0-1ADB0-1FB0CBA-2082C1A-1ADB0-A-1158-FD2-FA0-1022-1A4A-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvP - Faith RL125,A-3C-0-1A-F-18-0-35-0-8B290-41F14-33518-41FDC-3EA-412-408-4BA-0-10477C9-1ADB0-1ADB0-10477C9-206F3A9-1ADB0-A-1A90-1B8A-191F-195A-1EDF-18BA-17AC-1874-0-0-0-0-0-0-0-0-0
[Default] PvP - Faith RL139,A-3C-0-1A-F-18-0-43-0-8B290-41F14-33518-41FDC-3EA-412-408-4BA-0-10477C9-1ADB0-1ADB0-10477C9-206F3A9-1ADB0-A-1A90-191F-195A-1EDF-18BA-17AC-1874-1B8A-0-0-0-0-0-0-0-0-0
[Default] PvP - Faith RL150,A-3C-0-19-F-18-0-4F-0-8B290-41F14-33518-41FDC-3EA-412-408-4BA-0-10477C9-1ADB0-1ADB0-10477C9-207DDFA-1ADB0-A-1A90-191F-195A-1EDF-18BA-17AC-1874-1B8A-0-0-0-0-0-0-0-0-0
[Default] PvP - Arcane RL125,1E-3C-0-18-10-14-0-0-3C-A6040-57EA4-33518-41FDC-3EA-412-4BA-408-0-F5D679-1ADB0-1ADB0-F5D679-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvP - Arcane RL139,1E-3C-0-1C-18-14-0-0-3E-A6040-57EA4-33518-41FDC-3EA-412-4BA-408-0-1038D5A-1ADB0-1ADB0-1038D5A-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
[Default] PvP - Arcane RL150,1E-3C-0-1C-18-14-0-0-49-A6040-57EA4-33518-41FDC-3EA-412-4BA-408-0-1038D5A-1ADB0-1ADB0-1038D5A-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
