ID,Name,physicsAtkRate,magicAtkRate,fireAtkRate,thunderAtkRate,staminaAtkRate,saWeaponAtkRate,saDurabilityRate,correctStrengthRate,correctAgilityRate,correctMagicRate,correctFaithRate,physicsGuardCutRate,magicGuardCutRate,fireGuardCutRate,thunderGuardCutRate,poisonGuardResistRate,diseaseGuardResistRate,bloodGuardResistRate,curseGuardResistRate,staminaGuardDefRate,spEffectId1,spEffectId2,spEffectId3,darkAtkRate,darkGuardCutRate,correctLuckRate,freezeGuardDefRate,sleepGuardDefRate,madnessGuardDefRate,baseAtkRate
9.0,,1.522,1.522,1.522,1.522,1.36,1.0,1.0,1.18,1.18,1.36,1.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09,0.0,0.0,0.0,1.522,1.0,1.36,1.0,1.0,1.0,2.08
10.0,,1.58,1.58,1.58,1.58,1.4,1.0,1.0,1.2,1.2,1.4,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,0.0,0.0,0.0,1.58,1.0,1.4,1.0,1.0,1.0,2.2
11.0,,1.638,1.638,1.638,1.638,1.44,1.0,1.0,1.22,1.22,1.43,1.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.11,0.0,0.0,0.0,1.638,1.0,1.43,1.0,1.0,1.0,2.32
12.0,,1.696,1.696,1.696,1.696,1.48,1.0,1.0,1.24,1.24,1.46,1.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.12,0.0,0.0,0.0,1.696,1.0,1.46,1.0,1.0,1.0,2.44
13.0,,1.754,1.754,1.754,1.754,1.52,1.0,1.0,1.26,1.26,1.49,1.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.13,0.0,0.0,0.0,1.754,1.0,1.49,1.0,1.0,1.0,2.56
14.0,,1.812,1.812,1.812,1.812,1.56,1.0,1.0,1.28,1.28,1.52,1.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,0.0,0.0,0.0,1.812,1.0,1.52,1.0,1.0,1.0,2.68
15.0,,1.87,1.87,1.87,1.87,1.6,1.0,1.0,1.3,1.3,1.55,1.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,0.0,0.0,0.0,1.87,1.0,1.55,1.0,1.0,1.0,2.8
16.0,,1.928,1.928,1.928,1.928,1.64,1.0,1.0,1.32,1.32,1.58,1.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,0.0,0.0,0.0,1.928,1.0,1.58,1.0,1.0,1.0,2.92
17.0,,1.986,1.986,1.986,1.986,1.68,1.0,1.0,1.34,1.34,1.61,1.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,0.0,0.0,0.0,1.986,1.0,1.61,1.0,1.0,1.0,3.04
18.0,,2.044,2.044,2.044,2.044,1.72,1.0,1.0,1.36,1.36,1.64,1.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17,0.0,0.0,0.0,2.044,1.0,1.64,1.0,1.0,1.0,3.16
19.0,,2.102,2.102,2.102,2.102,1.76,1.0,1.0,1.38,1.38,1.67,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17,0.0,0.0,0.0,2.102,1.0,1.67,1.0,1.0,1.0,3.28
20.0,,2.16,2.16,2.16,2.16,1.8,1.0,1.0,1.4,1.4,1.7,1.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.18,0.0,0.0,0.0,2.16,1.0,1.7,1.0,1.0,1.0,3.4
21.0,,2.218,2.218,2.218,2.218,1.84,1.0,1.0,1.42,1.42,1.72,1.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.18,0.0,0.0,0.0,2.218,1.0,1.72,1.0,1.0,1.0,3.52
22.0,,2.276,2.276,2.276,2.276,1.88,1.0,1.0,1.44,1.44,1.74,1.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.18,0.0,0.0,0.0,2.276,1.0,1.74,1.0,1.0,1.0,3.64
23.0,,2.334,2.334,2.334,2.334,1.92,1.0,1.0,1.46,1.46,1.76,1.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.19,0.0,0.0,0.0,2.334,1.0,1.76,1.0,1.0,1.0,3.76
24.0,,2.392,2.392,2.392,2.392,1.96,1.0,1.0,1.48,1.48,1.78,1.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.19,0.0,0.0,0.0,2.392,1.0,1.78,1.0,1.0,1.0,3.88
25.0,,2.45,2.45,2.45,2.45,2.0,1.0,1.0,1.5,1.5,1.8,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,0.0,0.0,0.0,2.45,1.0,1.8,1.0,1.0,1.0,4.0
100.0,Heavy - High,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0
101.0,,1.006,1.006,1.006,1.006,1.04,1.0,1.0,1.85,0.0,1.04,1.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,0.0,0.0,0.0,1.006,1.0,1.04,1.0,1.0,1.0,1.12
102.0,,1.062,1.062,1.062,1.062,1.08,1.0,1.0,1.9,0.0,1.08,1.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,0.0,0.0,0.0,1.062,1.0,1.08,1.0,1.0,1.0,1.24
103.0,,1.118,1.118,1.118,1.118,1.12,1.0,1.0,1.95,0.0,1.12,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,0.0,0.0,0.0,1.118,1.0,1.12,1.0,1.0,1.0,1.36
104.0,,1.174,1.174,1.174,1.174,1.16,1.0,1.0,2.0,0.0,1.16,1.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,0.0,0.0,0.0,1.174,1.0,1.16,1.0,1.0,1.0,1.48
105.0,,1.23,1.23,1.23,1.23,1.2,1.0,1.0,2.05,0.0,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03,0.0,0.0,0.0,1.23,1.0,1.2,1.0,1.0,1.0,1.6
106.0,,1.286,1.286,1.286,1.286,1.24,1.0,1.0,2.1,0.0,1.24,1.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03,0.0,0.0,0.0,1.286,1.0,1.24,1.0,1.0,1.0,1.72
107.0,,1.342,1.342,1.342,1.342,1.28,1.0,1.0,2.15,0.0,1.28,1.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.342,1.0,1.28,1.0,1.0,1.0,1.84
108.0,,1.398,1.398,1.398,1.398,1.32,1.0,1.0,2.2,0.0,1.32,1.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.398,1.0,1.32,1.0,1.0,1.0,1.96
109.0,,1.454,1.454,1.454,1.454,1.36,1.0,1.0,2.25,0.0,1.36,1.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.454,1.0,1.36,1.0,1.0,1.0,2.08
110.0,,1.51,1.51,1.51,1.51,1.4,1.0,1.0,2.3,0.0,1.4,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.51,1.0,1.4,1.0,1.0,1.0,2.2
111.0,,1.566,1.566,1.566,1.566,1.44,1.0,1.0,2.34,0.0,1.43,1.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.566,1.0,1.43,1.0,1.0,1.0,2.32
112.0,,1.622,1.622,1.622,1.622,1.48,1.0,1.0,2.38,0.0,1.46,1.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.622,1.0,1.46,1.0,1.0,1.0,2.44
113.0,,1.678,1.678,1.678,1.678,1.52,1.0,1.0,2.42,0.0,1.49,1.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.678,1.0,1.49,1.0,1.0,1.0,2.56
114.0,,1.734,1.734,1.734,1.734,1.56,1.0,1.0,2.46,0.0,1.52,1.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.734,1.0,1.52,1.0,1.0,1.0,2.68
115.0,,1.79,1.79,1.79,1.79,1.6,1.0,1.0,2.5,0.0,1.55,1.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.79,1.0,1.55,1.0,1.0,1.0,2.8
116.0,,1.846,1.846,1.846,1.846,1.64,1.0,1.0,2.54,0.0,1.58,1.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.846,1.0,1.58,1.0,1.0,1.0,2.92
117.0,,1.902,1.902,1.902,1.902,1.68,1.0,1.0,2.58,0.0,1.61,1.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.902,1.0,1.61,1.0,1.0,1.0,3.04
118.0,,1.958,1.958,1.958,1.958,1.72,1.0,1.0,2.62,0.0,1.64,1.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.958,1.0,1.64,1.0,1.0,1.0,3.16
119.0,,2.014,2.014,2.014,2.014,1.76,1.0,1.0,2.66,0.0,1.67,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,2.014,1.0,1.67,1.0,1.0,1.0,3.28
120.0,,2.07,2.07,2.07,2.07,1.8,1.0,1.0,2.7,0.0,1.7,1.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,2.07,1.0,1.7,1.0,1.0,1.0,3.4
121.0,,2.126,2.126,2.126,2.126,1.84,1.0,1.0,2.72,0.0,1.72,1.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,2.126,1.0,1.72,1.0,1.0,1.0,3.52
122.0,,2.182,2.182,2.182,2.182,1.88,1.0,1.0,2.74,0.0,1.74,1.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09,0.0,0.0,0.0,2.182,1.0,1.74,1.0,1.0,1.0,3.64
123.0,,2.238,2.238,2.238,2.238,1.92,1.0,1.0,2.76,0.0,1.76,1.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09,0.0,0.0,0.0,2.238,1.0,1.76,1.0,1.0,1.0,3.76
124.0,,2.294,2.294,2.294,2.294,1.96,1.0,1.0,2.78,0.0,1.78,1.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09,0.0,0.0,0.0,2.294,1.0,1.78,1.0,1.0,1.0,3.88
125.0,,2.35,2.35,2.35,2.35,2.0,1.0,1.0,2.8,0.0,1.8,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,0.0,0.0,0.0,2.35,1.0,1.8,1.0,1.0,1.0,4.0
200.0,Keen - High,0.95,0.95,0.95,0.95,1.0,1.0,1.0,0.5,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0
201.0,,1.006,1.006,1.006,1.006,1.04,1.0,1.0,0.53,1.85,1.04,1.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,0.0,0.0,0.0,1.006,1.0,1.04,1.0,1.0,1.0,1.12
202.0,,1.062,1.062,1.062,1.062,1.08,1.0,1.0,0.56,1.9,1.08,1.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,0.0,0.0,0.0,1.062,1.0,1.08,1.0,1.0,1.0,1.24
203.0,,1.118,1.118,1.118,1.118,1.12,1.0,1.0,0.59,1.95,1.12,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,0.0,0.0,0.0,1.118,1.0,1.12,1.0,1.0,1.0,1.36
204.0,,1.174,1.174,1.174,1.174,1.16,1.0,1.0,0.62,2.0,1.16,1.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,0.0,0.0,0.0,1.174,1.0,1.16,1.0,1.0,1.0,1.48
205.0,,1.23,1.23,1.23,1.23,1.2,1.0,1.0,0.65,2.05,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03,0.0,0.0,0.0,1.23,1.0,1.2,1.0,1.0,1.0,1.6
206.0,,1.286,1.286,1.286,1.286,1.24,1.0,1.0,0.68,2.1,1.24,1.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03,0.0,0.0,0.0,1.286,1.0,1.24,1.0,1.0,1.0,1.72
207.0,,1.342,1.342,1.342,1.342,1.28,1.0,1.0,0.71,2.15,1.28,1.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.342,1.0,1.28,1.0,1.0,1.0,1.84
208.0,,1.398,1.398,1.398,1.398,1.32,1.0,1.0,0.74,2.2,1.32,1.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.398,1.0,1.32,1.0,1.0,1.0,1.96
209.0,,1.454,1.454,1.454,1.454,1.36,1.0,1.0,0.77,2.25,1.36,1.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.454,1.0,1.36,1.0,1.0,1.0,2.08
210.0,,1.51,1.51,1.51,1.51,1.4,1.0,1.0,0.8,2.3,1.4,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.51,1.0,1.4,1.0,1.0,1.0,2.2
211.0,,1.566,1.566,1.566,1.566,1.44,1.0,1.0,0.82,2.34,1.43,1.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.566,1.0,1.43,1.0,1.0,1.0,2.32
212.0,,1.622,1.622,1.622,1.622,1.48,1.0,1.0,0.84,2.38,1.46,1.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.622,1.0,1.46,1.0,1.0,1.0,2.44
213.0,,1.678,1.678,1.678,1.678,1.52,1.0,1.0,0.86,2.42,1.49,1.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.678,1.0,1.49,1.0,1.0,1.0,2.56
214.0,,1.734,1.734,1.734,1.734,1.56,1.0,1.0,0.88,2.46,1.52,1.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.734,1.0,1.52,1.0,1.0,1.0,2.68
215.0,,1.79,1.79,1.79,1.79,1.6,1.0,1.0,0.9,2.5,1.55,1.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.79,1.0,1.55,1.0,1.0,1.0,2.8
216.0,,1.846,1.846,1.846,1.846,1.64,1.0,1.0,0.92,2.54,1.58,1.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.846,1.0,1.58,1.0,1.0,1.0,2.92
217.0,,1.902,1.902,1.902,1.902,1.68,1.0,1.0,0.94,2.58,1.61,1.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.902,1.0,1.61,1.0,1.0,1.0,3.04
218.0,,1.958,1.958,1.958,1.958,1.72,1.0,1.0,0.96,2.62,1.64,1.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.958,1.0,1.64,1.0,1.0,1.0,3.16
219.0,,2.014,2.014,2.014,2.014,1.76,1.0,1.0,0.98,2.66,1.67,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,2.014,1.0,1.67,1.0,1.0,1.0,3.28
220.0,,2.07,2.07,2.07,2.07,1.8,1.0,1.0,1.0,2.7,1.7,1.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,2.07,1.0,1.7,1.0,1.0,1.0,3.4
221.0,,2.126,2.126,2.126,2.126,1.84,1.0,1.0,1.06,2.72,1.72,1.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,2.126,1.0,1.72,1.0,1.0,1.0,3.52
222.0,,2.182,2.182,2.182,2.182,1.88,1.0,1.0,1.12,2.74,1.74,1.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09,0.0,0.0,0.0,2.182,1.0,1.74,1.0,1.0,1.0,3.64
223.0,,2.238,2.238,2.238,2.238,1.92,1.0,1.0,1.18,2.76,1.76,1.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09,0.0,0.0,0.0,2.238,1.0,1.76,1.0,1.0,1.0,3.76
224.0,,2.294,2.294,2.294,2.294,1.96,1.0,1.0,1.24,2.78,1.78,1.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09,0.0,0.0,0.0,2.294,1.0,1.78,1.0,1.0,1.0,3.88
225.0,,2.35,2.35,2.35,2.35,2.0,1.0,1.0,1.3,2.8,1.8,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,0.0,0.0,0.0,2.35,1.0,1.8,1.0,1.0,1.0,4.0
300.0,Quality,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0
301.0,,0.946,0.946,0.946,0.946,1.04,1.0,1.0,1.05,1.05,1.04,1.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,0.0,0.0,0.0,0.946,1.0,1.04,1.0,1.0,1.0,1.12
302.0,,0.992,0.992,0.992,0.992,1.08,1.0,1.0,1.1,1.1,1.08,1.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,0.0,0.0,0.0,0.992,1.0,1.08,1.0,1.0,1.0,1.24
303.0,,1.038,1.038,1.038,1.038,1.12,1.0,1.0,1.15,1.15,1.12,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,0.0,0.0,0.0,1.038,1.0,1.12,1.0,1.0,1.0,1.36
304.0,,1.084,1.084,1.084,1.084,1.16,1.0,1.0,1.2,1.2,1.16,1.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,0.0,0.0,0.0,1.084,1.0,1.16,1.0,1.0,1.0,1.48
305.0,,1.13,1.13,1.13,1.13,1.2,1.0,1.0,1.25,1.25,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03,0.0,0.0,0.0,1.13,1.0,1.2,1.0,1.0,1.0,1.6
306.0,,1.176,1.176,1.176,1.176,1.24,1.0,1.0,1.3,1.3,1.24,1.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03,0.0,0.0,0.0,1.176,1.0,1.24,1.0,1.0,1.0,1.72
307.0,,1.222,1.222,1.222,1.222,1.28,1.0,1.0,1.35,1.35,1.28,1.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.222,1.0,1.28,1.0,1.0,1.0,1.84
308.0,,1.268,1.268,1.268,1.268,1.32,1.0,1.0,1.4,1.4,1.32,1.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.268,1.0,1.32,1.0,1.0,1.0,1.96
309.0,,1.314,1.314,1.314,1.314,1.36,1.0,1.0,1.45,1.45,1.36,1.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.314,1.0,1.36,1.0,1.0,1.0,2.08
310.0,,1.36,1.36,1.36,1.36,1.4,1.0,1.0,1.5,1.5,1.4,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.36,1.0,1.4,1.0,1.0,1.0,2.2
311.0,,1.406,1.406,1.406,1.406,1.44,1.0,1.0,1.53,1.53,1.43,1.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.406,1.0,1.43,1.0,1.0,1.0,2.32
312.0,,1.452,1.452,1.452,1.452,1.48,1.0,1.0,1.56,1.56,1.46,1.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.452,1.0,1.46,1.0,1.0,1.0,2.44
313.0,,1.498,1.498,1.498,1.498,1.52,1.0,1.0,1.59,1.59,1.49,1.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.498,1.0,1.49,1.0,1.0,1.0,2.56
314.0,,1.544,1.544,1.544,1.544,1.56,1.0,1.0,1.62,1.62,1.52,1.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.544,1.0,1.52,1.0,1.0,1.0,2.68
315.0,,1.59,1.59,1.59,1.59,1.6,1.0,1.0,1.65,1.65,1.55,1.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.59,1.0,1.55,1.0,1.0,1.0,2.8
316.0,,1.636,1.636,1.636,1.636,1.64,1.0,1.0,1.68,1.68,1.58,1.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.636,1.0,1.58,1.0,1.0,1.0,2.92
317.0,,1.682,1.682,1.682,1.682,1.68,1.0,1.0,1.71,1.71,1.61,1.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.682,1.0,1.61,1.0,1.0,1.0,3.04
318.0,,1.728,1.728,1.728,1.728,1.72,1.0,1.0,1.74,1.74,1.64,1.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.728,1.0,1.64,1.0,1.0,1.0,3.16
319.0,,1.774,1.774,1.774,1.774,1.76,1.0,1.0,1.77,1.77,1.67,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,1.774,1.0,1.67,1.0,1.0,1.0,3.28
320.0,,1.82,1.82,1.82,1.82,1.8,1.0,1.0,1.8,1.8,1.7,1.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,1.82,1.0,1.7,1.0,1.0,1.0,3.4
321.0,,1.866,1.866,1.866,1.866,1.84,1.0,1.0,1.82,1.82,1.72,1.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,1.866,1.0,1.72,1.0,1.0,1.0,3.52
