Talisman,ID,accessoryGroup
Clarifying Horn Charm +1,1181.0,1180.0
Clarifying Horn Charm +2,7060.0,1180.0
Mottled Necklace,1200.0,1200.0
Mottled Necklace +1,1201.0,1200.0
Mottled Necklace +2,7080.0,1200.0
Prince of Death's Pustule,1190.0,1190.0
Prince of Death's Cyst,1191.0,1190.0
Ailment Talisman,8120.0,8120.0
Dagger Talisman,2090.0,2090.0
Curved Sword Talisman,2200.0,2200.0
Twinblade Talisman,2120.0,2120.0
Axe Talisman,2130.0,2130.0
Hammer Talisman,2070.0,2070.0
Spear Talisman,2060.0,2060.0
Lance Talisman,2140.0,2140.0
Claw Talisman,2180.0,2180.0
Two-Handed Sword Talisman,8040.0,8040.0
Greatshield Talisman,4100.0,4100.0
Pearl Shield Talisman,8090.0,8090.0
Retaliatory Crossed-Tree,8130.0,8130.0
Lacerating Crossed-Tree,8140.0,8140.0
Arrow's Sting Talisman,2150.0,2150.0
Arrow's Reach Talisman,2100.0,2100.0
Arrow's Soaring Sting Talisman,8070.0,2100.0
Sharpshot Talisman,8150.0,8150.0
Graven-School Talisman,3000.0,3000.0
Graven-Mass Talisman,3001.0,3001.0
Faithful's Canvas Talisman,3040.0,3040.0
Flock's Canvas Talisman,3050.0,3050.0
Primal Glintstone Blade,3080.0,3080.0
Moon of Nokstella,1140.0,1140.0
Old Lord's Talisman,3060.0,3060.0
Radagon Icon,3070.0,3070.0
Beloved Stardust,8190.0,3070.0
Roar Medallion,2190.0,2190.0
Companion Jar,2210.0,2210.0
Perfumer's Talisman,2220.0,2220.0
Carian Filigreed Crest,6020.0,6020.0
Warrior Jar Shard,1230.0,1230.0
Shard of Alexander,1231.0,1230.0
Godfrey Icon,3090.0,3090.0
Rellana's Cameo,8220.0,8220.0
Shattered Stone Talisman,8030.0,8030.0
Smithing Talisman,8110.0,8110.0
Enraged Divine Beast,8180.0,8180.0
Talisman of the Dread,8170.0,8170.0
Bull-Goat's Talisman,1210.0,1210.0
Blue Dancer Charm,2110.0,2110.0
Verdigris Discus,8210.0,8210.0
Magic Scorpion Charm,2000.0,2000.0
Fire Scorpion Charm,2020.0,2020.0
Lightning Scorpion Charm,2010.0,2010.0
Sacred Scorpion Charm,2030.0,2030.0
Crucible Scale Talisman,4060.0,4060.0
Crucible Feather Talisman,4070.0,4070.0
Crucible Knot Talisman,4110.0,4110.0
Fine Crucible Feather Talisman,8010.0,8010.0
Talisman of All Crucibles,8240.0,4060.0
Red-Feathered Branchsword,2040.0,2040.0
Blue-Feathered Branchsword,4080.0,4080.0
Ritual Sword Talisman,2050.0,2050.0
Ritual Shield Talisman,4090.0,4090.0
Assassin's Crimson Dagger,5050.0,5050.0
Assassin's Cerulean Dagger,5060.0,5060.0
Winged Sword Insignia,2080.0,2080.0
Rotten Winged Sword Insignia,2081.0,2080.0
Millicent's Prosthesis,1250.0,1250.0
Godskin Swaddling Cloth,5040.0,5040.0
Kindred of Rot's Exultation,2170.0,2170.0
Lord of Blood's Exultation,2160.0,2160.0
Aged One's Exultation,8060.0,8060.0
St. Trina's Smile,8160.0,8160.0
Blade of Mercy,8230.0,8230.0
Taker's Cameo,5030.0,5030.0
Ancestral Spirit's Horn,6110.0,6110.0
Crusade Insignia,8050.0,8050.0
Dried Bouquet,8100.0,8100.0
Gold Scarab,1110.0,1110.0
Silver Scarab,1100.0,1100.0
Crepus's Vial,6000.0,6000.0
Concealing Veil,6010.0,6010.0
Longtail Cat Talisman,6040.0,6040.0
Furled Finger's Trick-Mirror,6080.0,6080.0
Host's Trick-Mirror,6090.0,6080.0
Shabriri's Woe,6050.0,6050.0
Daedicar's Woe,6060.0,6060.0
Sacrificial Twig,6070.0,6070.0
