,,,,,weight,group,,,Base,Modifiers,Total,,Source,Effect,,Slot,Weapon,ID,Affinity,Reinforcement Level,reinforceTypeId,bothHandsAtkBonus,isEnhance,throwable,properStrength,properAgility,properMagic,properFaith,properLuck,Str Requirements Met,Dex Requirements Met,Int Requirements Met,Faith Requirements Met,Arc Requirements Met,atkPhysical,atkMagic,atkFire,atkLightning,atkHoly,correctStr,correctDex,correctInt,correctFth,correctArc,correctStrRate,correctDexRate,correctIntRate,correctFthRate,correctArcRate,correctStrFinal,correctDexFinal,correctIntFinal,correctFthFinal,correctArcFinal,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,holyGuardCutRate,staminaGuardDef,correctType_Physics,correctType_Magic,correctType_Fire,correctType_Thunder,correctType_Dark,correctType_Poison,correctType_Blood,correctType_Sleep,correctType_Madness,attackElementCorrectId,StrengthCorrect_byPhysics,StrengthCorrect_byMagic,StrengthCorrect_byFire,StrengthCorrect_byThunder,StrengthCorrect_byDark,DexterityCorrect_byPhysics,DexterityCorrect_byMagic,DexterityCorrect_byFire,DexterityCorrect_byThunder,DexterityCorrect_byDark,MagicCorrect_byPhysics,MagicCorrect_byMagic,MagicCorrect_byFire,MagicCorrect_byThunder,MagicCorrect_byDark,FaithCorrect_byPhysics,FaithCorrect_byMagic,FaithCorrect_byFire,FaithCorrect_byThunder,FaithCorrect_byDark,LuckCorrect_byPhysics,LuckCorrect_byMagic,LuckCorrect_byFire,LuckCorrect_byThunder,LuckCorrect_byDark,overwriteStrengthCorrectRate_byPhysics,overwriteStrengthCorrectRate_byMagic,overwriteStrengthCorrectRate_byFire,overwriteStrengthCorrectRate_ByThunder,overwriteStrengthCorrectRate_byDark,overwriteDexterityCorrectRate_byPhysics,overwriteDexterityCorrectRate_byMagic,overwriteDexterityCorrectRate_byFire,overwriteDexterityCorrectRate_ByThunder,overwriteDexterityCorrectRate_byDark,overwriteMagicCorrectRate_byPhysics,overwriteMagicCorrectRate_byMagic,overwriteMagicCorrectRate_byFire,overwriteMagicCorrectRate_ByThunder,overwriteMagicCorrectRate_byDark,overwriteFaithCorrectRate_byPhysics,overwriteFaithCorrectRate_byMagic,overwriteFaithCorrectRate_byFire,overwriteFaithCorrectRate_ByThunder,overwriteFaithCorrectRate_byDark,overwriteLuckCorrectRate_byPhysics,overwriteLuckCorrectRate_byMagic,overwriteLuckCorrectRate_byFire,overwriteLuckCorrectRate_ByThunder,overwriteLuckCorrectRate_byDark,physAtkPenalty,magAtkPenalty,fireAtkPenalty,thunAtkPenalty,darkAtkPenalty,statusAtkPenalty,PhysAtk,MagAtk,FireAtk,ThunAtk,HolyAtk,SpellBuff,IntSpellBuff,FthSpellBuff,PhysSB,MagSb,FireSb,ThunSb,HolySb,SpecialStatusSpEffectId,StatusSpEffectId1,StatusSpEffectId2,SpEffectId1Offset,SpEffectId2Offset,PoisonArc,BleedArc,SleepArc,MadnessArc,poizonAttackPower,bloodAttackPower,sleepAttackPower,madnessAttackPower,diseaseAttackPower,freezeAttackPower,curseAttackPower,AtkPoison,AtkBleed,AtkSleep,AtkMadness,AtkRot,AtkFrost,AtkDeath
Vigor Alter,0,,Great Rune,Empty,,,,Immunity,92,0,92,,Empty,,,lowStatus_AtkPowDown,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mind Alter,0,,Active,FALSE,,,,Robustness,92,0,92,,,,,ignoreRequirements,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endurance Alter,0,,,,,,,Focus,92,0,92,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strength Alter,0,,Crystal Tear 1,Empty,,,,Vitality,99,0,99,,Empty,,,,,PhysAtk,MagAtk,FireAtk,LtngAtk,HolyAtk,Total,SB,IntSB,FthSB,Poison,Rot,Bleed,Frost,Sleep,Madness,physGuard,magGuard,fireGuard,thunGuard,holyGuard,Stability,Str Scaling,Dex Scaling,Int Scaling,Faith Scaling,Arc Scaling,Str Letter,Dex Letter,Int Letter,Faith Letter,Arc Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexterity Alter,0,,Crystal Tear 2,Empty,,,,,,,,,,,,RH1,Unarmed,23.45785443,0,0,0,0,23.45785443,0,0,0,0,0,0,0,0,0,30,20,20,20,20,10,50,50,0,0,0,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligence Alter,0,,Active,FALSE,,,,Poise,0.0,0,0,,Unarmed,,,RH2,Unarmed,23.45785443,0,0,0,0,23.45785443,0,0,0,0,0,0,0,0,0,30,20,20,20,20,10,50,50,0,0,0,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Alter,0,,,,,,,Bull-Goat's Talisman,Modifier,1,,,Unarmed,,,RH3,Unarmed,23.45785443,0,0,0,0,23.45785443,0,0,0,0,0,0,0,0,0,30,20,20,20,20,10,50,50,0,0,0,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Alter,0,,RH1,Unarmed,0,,,,,,,,Unarmed,,,LH1,Unarmed,23.45785443,0,0,0,0,23.45785443,0,0,0,0,0,0,0,0,0,30,20,20,20,20,10,50,50,0,0,0,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RH2,Unarmed,0,,,Encumberance,0.0 / 49.8,0.0%,,,,,,LH2,Unarmed,23.45785443,0,0,0,0,23.45785443,0,0,0,0,0,0,0,0,0,30,20,20,20,20,10,50,50,0,0,0,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigor Final,15,,RH3,Unarmed,0,,,Weight Left | Roll,14.9,Light Load,,,Unarmed,,,LH3,Unarmed,23.45785443,0,0,0,0,23.45785443,0,0,0,0,0,0,0,0,0,30,20,20,20,20,10,50,50,0,0,0,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mind Final,10,,LH1,Unarmed,0,,,,,,,,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endurance Final,11,,LH2,Unarmed,0,,,Phys Abs,1,1,1,,Unarmed,,,RH1,Unarmed,23.46,-,-,-,-,23.46,-,-,-,0,0,0,0,0,0,30,20,20,20,20,10,0.5,0.5,-,-,-,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strength Final,14,,LH3,Unarmed,0,,,Strike Abs,1,1,1,,,,,RH2,Unarmed,23.46,-,-,-,-,23.46,-,-,-,0,0,0,0,0,0,30,20,20,20,20,10,0.5,0.5,-,-,-,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexterity Final,13,,,,,,,Slash Abs,1,1,1,,Unarmed,,,RH3,Unarmed,23.46,-,-,-,-,23.46,-,-,-,0,0,0,0,0,0,30,20,20,20,20,10,0.5,0.5,-,-,-,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligence Final,9,,,Total,0,,,Pierce Abs,1,1,1,,Unarmed,,,LH1,Unarmed,23.46,-,-,-,-,23.46,-,-,-,0,0,0,0,0,0,30,20,20,20,20,10,0.5,0.5,-,-,-,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Final,9,,,,,,,Magic Abs,1,1,1,,Unarmed,,,LH2,Unarmed,23.46,-,-,-,-,23.46,-,-,-,0,0,0,0,0,0,30,20,20,20,20,10,0.5,0.5,-,-,-,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Final,7,,,Blue Dancer Charm,FALSE,,,Fire Abs,1,1,1,,,,,LH3,Unarmed,23.46,-,-,-,-,23.46,-,-,-,0,0,0,0,0,0,30,20,20,20,20,10,0.5,0.5,-,-,-,D,D,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,88,,,Blue Dancer Multiplier,1.15,,,Lightning Abs,1,1,1,,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Holy Abs,1,1,1,,Unarmed,,,,,AR,Total AR,GuardAbs,Stability,SB,poizonAttackPower,diseaseAttackPower,bloodAttackPower,freezeAttackPower,sleepAttackPower,madnessAttackPower,Require,properStrength,properAgility,properMagic,properFaith,properLuck,enableMagic,enableMiracle,canCast,statusSpEffectId1,statusType,effectEndurance,changeHpRate,changeHpPoint,changeMpRate,changeMpPoint,neutralDamageCutRate,effectText1,statusSpEffectId2,statusType,effectEndurance,changeHpRate,changeHpPoint,changeMpRate,changeMpPoint,neutralDamageCutRate,effectText2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ignore effects,,,,Verdigris Discus,FALSE,,,Immunity,0,,92,,Unarmed,,,RH1,Unarmed,23/0/0/0/0,23.46,30/20/20/20/20,10,,,,,,,,0/0/0/0/0,0,0,0,0,0,FALSE,FALSE,FALSE,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakshasa's Great Katana,,,,Verdigris Discus Absoprtion PvE,1,,,Robustness,0,,92,,,,,RH2,Unarmed,23/0/0/0/0,23.46,30/20/20/20/20,10,,,,,,,,0/0/0/0/0,0,0,0,0,0,FALSE,FALSE,FALSE,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Dancer Charm,,,,Verdigris Discus Absoprtion PvP,1,,,Focus,0,,92,,Unarmed,,,RH3,Unarmed,23/0/0/0/0,23.46,30/20/20/20/20,10,,,,,,,,0/0/0/0/0,0,0,0,0,0,FALSE,FALSE,FALSE,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucible Scale Talisman,,,,,,,,Vitality,0,,99,,Unarmed,,,LH1,Unarmed,23/0/0/0/0,23.46,30/20/20/20/20,10,,,,,,,,0/0/0/0/0,0,0,0,0,0,FALSE,FALSE,FALSE,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Empty,,,,,,,,,Unarmed,,,LH2,Unarmed,23/0/0/0/0,23.46,30/20/20/20/20,10,,,,,,,,0/0/0/0/0,0,0,0,0,0,FALSE,FALSE,FALSE,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PvP,FALSE,,,,,,,LH3,Unarmed,23/0/0/0/0,23.46,30/20/20/20/20,10,,,,,,,,0/0/0/0/0,0,0,0,0,0,FALSE,FALSE,FALSE,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Low HP,FALSE,,,,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Full HP,FALSE,,,,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rain,FALSE,,,,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Wet,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
