Unarmed,,,Base,,,Modifiers,,,,,,,Strength,Dexterity,Intelligence,Faith,Arcane,,,,Available Infusions,,Upgrade Level,,Status Buffs,Usable,Dropdown,,Defaults
Weapon Class,Fist,,diseaseAttackPower,0,,diseaseAttackPower,0,,magicCorrect_byDark,10.11834044,,correctRate_byThunder,0,0.0822979093,0,0,0,,,,,,,,,,,,
,,,bloodAttackPower,0,,bloodAttackPower,0,,faithCorrect_byDark,10.11834044,,correctRate_byDark,0,0,0,0,0,,,,,,,,,,,,
overwriteAttackElementCorrectId,,,freezeAttackPower,0,,freezeAttackPower,0,,luckCorrect_byDark,7.164449132,,,,,,,,,,,,,,,,,,,
overwriteAttackBasePhysics,,,sleepAttackPower,0,,sleepAttackPower,0,,,,,lowStatus_AtkPowDown,0.4,,,,,,,,,,,,,,,,
overwriteAttackBaseMagic,,,madnessAttackPower,0,,madnessAttackPower,0,,correctType_Poison,10,,physAtkPenalty,FALSE,-0.4,negPhysScale,FALSE,0,,,,,,,,,,,,
overwriteAttackBaseFire,,,,,,,,,luckCorrect_byPoison,4.285714286,,magAtkPenalty,FALSE,-0.4,negMagScale,FALSE,0,,,,,,,,,,,,
overwriteAttackBaseThunder,,,StatusBuffSpEffectId,-1,,,,,,,,fireAtkPenalty,FALSE,-0.4,negFireScale,FALSE,0,,,,,,,,,,,,
overwriteAttackBaseDark,,,poizonAttackPower,0,,,,,correctType_Blood,10,,thunAtkPenalty,FALSE,-0.4,negThunScale,FALSE,0,,,,,,,,,,,,
baseAtkRate,FALSE,,diseaseAttackPower,0,,,,,luckCorrect_byBlood,4.285714286,,darkAtkPenalty,FALSE,-0.4,negDarkScale,FALSE,0,,,,,,,,,,,,
,,,bloodAttackPower,0,,,,,,,,,,,,,,,,,,,,,,,,,
changeStrengthPoint,,,freezeAttackPower,0,,,,,correctType_Sleep,0,,statusAtkPenalty,FALSE,-0.4,,,,,,,,,,,,,,,
changeAgilityPoint,,,sleepAttackPower,0,,,,,luckCorrect_bySleep,7.164449132,,,,,,,,,,,,,,,,,,,
changeMagicPoint,,,madnessAttackPower,0,,,,,,,,,changeStrengthPoint,changeAgilityPoint,changeMagicPoint,changeFaithPoint,changeLuckPoint,,,,,,,,,,,,
changeFaithPoint,,,,,,,,,correctType_Madness,0,,,0,0,0,0,0,,,,,,,,,,,,
changeLuckPoint,,,,,,,,,luckCorrect_byMadness,7.164449132,,,,,,,,,,,,,,,,,,,
