Type,Name,ID,AtkID,Display Name,slotLength,mp,mp_charge,stamina,stamina_charge,requirementIntellect,requirementFaith,requirementLuck,weapon buff speffect,PhysAtk,MagicAtk,FireAtk,LtngAtk,HolyAtk,heal speffect,Heal Add,Only Uses Int,Only Uses Faith,No Scale,UseDurationMult,miscSpEffect1,miscSpEffect2,miscSpEffect3,miscSpEffect4,durationSpEffect,bulletLifeId,bulletRange,miscBullet,hitRadius,hitRadiusMax,Effect,Duration,Radius,isExtendSpEffectLife,statusSpEffectId1,statusSpEffectId2,statusSpEffectId1Scale,statusSpEffectId2Scale,Status Effect,Magic Category ID 1,Magic Category ID 2,Category Name 1,Category Name 2,MagicCategoryCombined,Catalyst 1,Catalyst 2,Multiplier1,Multiplier2,Catalyst + Multiplier 1,Catalyst + Multiplier 2,Atk Category 1,Atk Category 2, Atk Category 3,Atk Category 4,AtkCategoryCombined,stamina cost,Status Type,Status Buildup,Status Buildup1,Status Buildup2
Sorcery,Glintstone Stars,4040.0,40400.0,Glintstone Stars,1.0,12.0,12.0,21.0,27.0,12.0,0.0,0.0,,0.0,87.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,,,,,,21.0,,,,
Sorcery,Glintstone Stars,4040.0,40401.0,Glintstone Stars,1.0,12.0,12.0,21.0,27.0,12.0,0.0,0.0,,0.0,78.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,,,,,,21.0,,,,
Sorcery,Glintstone Stars,4040.0,40402.0,Glintstone Stars,1.0,12.0,12.0,21.0,27.0,12.0,0.0,0.0,,0.0,68.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,,,,,,21.0,,,,
Sorcery,Glintstone Stars,4040.0,40405.0,Glintstone Stars - Charged,1.0,12.0,12.0,21.0,27.0,12.0,0.0,0.0,,0.0,99.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,27.0,,,,
Sorcery,Glintstone Stars,4040.0,40406.0,Glintstone Stars - Charged,1.0,12.0,12.0,21.0,27.0,12.0,0.0,0.0,,0.0,90.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,27.0,,,,
Sorcery,Glintstone Stars,4040.0,40407.0,Glintstone Stars - Charged,1.0,12.0,12.0,21.0,27.0,12.0,0.0,0.0,,0.0,80.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,27.0,,,,
Sorcery,Star Shower,4050.0,40500.0,Star Shower,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,79.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,,,,,,26.0,,,,
Sorcery,Star Shower,4050.0,40501.0,Star Shower,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,69.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,,,,,,26.0,,,,
Sorcery,Star Shower,4050.0,40502.0,Star Shower,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,69.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,,,,,,26.0,,,,
Sorcery,Star Shower,4050.0,40503.0,Star Shower,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,59.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,,,,,,26.0,,,,
Sorcery,Star Shower,4050.0,40504.0,Star Shower,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,49.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,,,,,,26.0,,,,
Sorcery,Star Shower,4050.0,40505.0,Star Shower,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,44.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,,,,,,26.0,,,,
Sorcery,Star Shower,4050.0,40510.0,Star Shower - Charged,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,88.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,34.0,,,,
Sorcery,Star Shower,4050.0,40511.0,Star Shower - Charged,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,78.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,34.0,,,,
Sorcery,Star Shower,4050.0,40512.0,Star Shower - Charged,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,68.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,34.0,,,,
Sorcery,Star Shower,4050.0,40513.0,Star Shower - Charged,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,63.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,34.0,,,,
Sorcery,Star Shower,4050.0,40514.0,Star Shower - Charged,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,58.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,34.0,,,,
Sorcery,Star Shower,4050.0,40515.0,Star Shower - Charged,1.0,23.0,23.0,26.0,34.0,24.0,0.0,0.0,,0.0,53.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,7.0,0.0,Lusat's Sorcery,,Lusat's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,34.0,,,,
Sorcery,Glintstone Arc,4070.0,40070.0,Glintstone Arc,1.0,9.0,0.0,18.0,0.0,13.0,0.0,0.0,,0.0,148.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,18.0,,,,
Sorcery,Crystal Barrage,4060.0,40600.0,Crystal Barrage,1.0,14.0,2.0,26.0,0.0,23.0,0.0,0.0,,0.0,36.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,26.0,,,,
Sorcery,Crystal Burst,4090.0,40900.0,Crystal Burst,1.0,14.0,14.0,9.0,12.0,18.0,0.0,0.0,,0.0,40.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,9.0,,,,
Sorcery,Crystal Burst,4090.0,40905.0,Crystal Burst - Charged,1.0,14.0,14.0,9.0,12.0,18.0,0.0,0.0,,0.0,45.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,Charged Spell,,,,Charged Spell,12.0,,,,
Sorcery,Cannon of Haima,4080.0,40801.0,Cannon of Haima,1.0,38.0,38.0,42.0,55.0,25.0,0.0,0.0,,0.0,285.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10408001.0,,0.1,4.0,,,4.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,42.0,,,,
Sorcery,Cannon of Haima,4080.0,40806.0,Cannon of Haima - Charged,1.0,38.0,38.0,42.0,55.0,25.0,0.0,0.0,,0.0,332.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10408051.0,,0.1,6.0,,,6.0,,,,,,,0.0,0.0,,,,,,,,,,Charged Spell,,,,Charged Spell,55.0,,,,
Sorcery,Gavel of Haima,4120.0,41200.0,Gavel of Haima,1.0,22.0,0.0,38.0,0.0,25.0,0.0,0.0,,0.0,297.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,38.0,,,,
Sorcery,Gavel of Haima,4120.0,41205.0,Gavel of Haima - Bullet,1.0,22.0,0.0,38.0,0.0,25.0,0.0,0.0,,0.0,242.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10412000.0,,3.0,-1.0,,,3.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,38.0,,,,
Sorcery,Gavel of Haima,4120.0,41201.0,Gavel of Haima Offhand,1.0,22.0,0.0,38.0,0.0,25.0,0.0,0.0,,0.0,297.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,38.0,,,,
Sorcery,Gavel of Haima,4120.0,41206.0,Gavel of Haima Offhand - Bullet,1.0,22.0,0.0,38.0,0.0,25.0,0.0,0.0,,0.0,242.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10412001.0,,3.0,-1.0,,,3.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,38.0,,,,
Sorcery,Shatter Earth,4100.0,41000.0,Shatter Earth - Bullet,1.0,10.0,0.0,22.0,0.0,15.0,0.0,0.0,,0.0,182.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10410000.0,,1.7,2.3,,,2.3,,,,,,,4.0,0.0,Stonedigger,,Stonedigger,Digger's Staff,,1.2,,Digger's Staff; 1.2x,,,,,,,22.0,,,,
Sorcery,Shatter Earth,4100.0,41001.0,Shatter Earth - Bullet,1.0,10.0,0.0,22.0,0.0,15.0,0.0,0.0,,0.0,205.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10410001.0,,2.2,2.8,,,2.8,,,,,,,4.0,0.0,Stonedigger,,Stonedigger,Digger's Staff,,1.2,,Digger's Staff; 1.2x,,,,,,,22.0,,,,
Sorcery,Shatter Earth,4100.0,41002.0,Shatter Earth - Bullet,1.0,10.0,0.0,22.0,0.0,15.0,0.0,0.0,,0.0,52.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10410002.0,,1.0,1.0,,,1.0,,,,,,,4.0,0.0,Stonedigger,,Stonedigger,Digger's Staff,,1.2,,Digger's Staff; 1.2x,,,,,,,22.0,,,,
Sorcery,Shatter Earth,4100.0,41003.0,Shatter Earth,1.0,10.0,0.0,22.0,0.0,15.0,0.0,0.0,,0.0,68.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,4.0,0.0,Stonedigger,,Stonedigger,Digger's Staff,,1.2,,Digger's Staff; 1.2x,,,,,,,22.0,,,,
Sorcery,Shatter Earth,4100.0,41004.0,Shatter Earth,1.0,10.0,0.0,22.0,0.0,15.0,0.0,0.0,,0.0,68.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,4.0,0.0,Stonedigger,,Stonedigger,Digger's Staff,,1.2,,Digger's Staff; 1.2x,,,,,,,22.0,,,,
Sorcery,Rock Blaster,4110.0,41100.0,Rock Blaster,1.0,22.0,4.0,35.0,0.0,21.0,0.0,0.0,,0.0,64.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10411011.0,,0.6,-1.0,,,0.6,,,,,,,4.0,0.0,Stonedigger,,Stonedigger,Digger's Staff,,1.2,,Digger's Staff; 1.2x,,,,,,,35.0,,,,
Sorcery,Rock Blaster,4110.0,41101.0,Rock Blaster,1.0,22.0,4.0,35.0,0.0,21.0,0.0,0.0,,0.0,260.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10411000.0,,0.1,2.2,,,2.2,,,,,,,4.0,0.0,Stonedigger,,Stonedigger,Digger's Staff,,1.2,,Digger's Staff; 1.2x,,,,,,,35.0,,,,
Sorcery,Rock Blaster,4110.0,41102.0,Rock Blaster,1.0,22.0,4.0,35.0,0.0,21.0,0.0,0.0,,0.0,64.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10411013.0,,0.6,-1.0,,,0.6,,,,,,,4.0,0.0,Stonedigger,,Stonedigger,Digger's Staff,,1.2,,Digger's Staff; 1.2x,,,,,,,35.0,,,,
Sorcery,Rock Blaster,4110.0,41103.0,Rock Blaster,1.0,22.0,4.0,35.0,0.0,21.0,0.0,0.0,,0.0,64.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10411015.0,,0.6,-1.0,,,0.6,,,,,,,4.0,0.0,Stonedigger,,Stonedigger,Digger's Staff,,1.2,,Digger's Staff; 1.2x,,,,,,,35.0,,,,
Sorcery,Scholar's Armament,4460.0,,Scholar's Armament,1.0,25.0,0.0,10.0,0.0,12.0,0.0,0.0,1446000.0,0.0,75.0,0.0,0.0,0.0,,,TRUE,FALSE,FALSE,TRUE,,,,,1446000.0,,,,,,Adds magic AR to weapon (0.75 * Spell Buff; only uses intelligence scaling),90.0,,TRUE,,,,,,0.0,0.0,,,,,,,,,,,,,,,10.0,,,,
Sorcery,Scholar's Shield,4470.0,,Scholar's Shield,1.0,30.0,0.0,10.0,0.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,1447000.0,,,,1447000.0,,,,,,"Increases shield magic damage negation by 70%, other damage negations by 30%, and multiplies stamina damage recieved by 0.65",60.0,,TRUE,,,,,,0.0,0.0,,,,,,,,,,,,,,,10.0,,,,
Sorcery,Starlight,4140.0,,Starlight,1.0,9.0,0.0,5.0,0.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,1414000.0,,,,,,Creates an orb of light that follows the caster,180.0,,TRUE,,,,,,0.0,0.0,,,,,,,,,,,,,,,5.0,,,,
Sorcery,Terra Magica,4130.0,41300.0,Terra Magica,1.0,20.0,0.0,12.0,0.0,20.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,1413000.0,,,,,10413002.0,10413003.0,,4.2,-1.0,1.225x magic damage while standing in sigil (1.15x in PvP); lingers for 1.5 seconds,30.0,4.2,FALSE,,,,,,0.0,0.0,,,,,,,,,,,,,,,12.0,,,,
Sorcery,Thops's Barrier,4630.0,79984.0,Thops's Barrier,1.0,7.0,0.0,10.0,0.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,10463000.0,10463000.0,,3.8,-1.0,,0.95,3.8,FALSE,,,,,,0.0,0.0,,,,,,,,,,,,,,,10.0,,,,
Sorcery,Comet Azur,4200.0,42000.0,Comet Azur,3.0,40.0,10.0,34.0,0.0,60.0,0.0,0.0,,0.0,55.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,14.0,0.0,Comet Azur,,Azur's 1.15x,,,,,,,,,,,,34.0,,,,
Sorcery,Comet Azur,4200.0,42002.0,Comet Azur,3.0,40.0,10.0,34.0,0.0,60.0,0.0,0.0,,0.0,75.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,14.0,0.0,Comet Azur,,Azur's 1.15x,,,,,,,,,,,,34.0,,,,
Sorcery,Comet Azur,4200.0,42003.0,Comet Azur,3.0,40.0,10.0,34.0,0.0,60.0,0.0,0.0,,0.0,100.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,14.0,0.0,Comet Azur,,Azur's 1.15x,,,,,,,,,,,,34.0,,,,
Sorcery,Comet Azur,4200.0,42004.0,Comet Azur,3.0,40.0,10.0,34.0,0.0,60.0,0.0,0.0,,0.0,55.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,14.0,0.0,Comet Azur,,Azur's 1.15x,,,,,,,,,,,,34.0,,,,
Sorcery,Comet Azur,4200.0,42001.0,Comet Azur,3.0,40.0,10.0,34.0,0.0,60.0,0.0,0.0,,0.0,90.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,14.0,0.0,Comet Azur,,Azur's 1.15x,,,,,,,,,,,,34.0,,,,
Sorcery,Stars of Ruin,4220.0,42200.0,Stars of Ruin,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,52.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,,,,,,29.0,,,,
Sorcery,Stars of Ruin,4220.0,42201.0,Stars of Ruin,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,52.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,,,,,,29.0,,,,
Sorcery,Stars of Ruin,4220.0,42202.0,Stars of Ruin,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,49.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,,,,,,29.0,,,,
Sorcery,Stars of Ruin,4220.0,42203.0,Stars of Ruin,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,49.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,,,,,,29.0,,,,
Sorcery,Stars of Ruin,4220.0,42204.0,Stars of Ruin,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,45.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,,,,,,29.0,,,,
Sorcery,Stars of Ruin,4220.0,42205.0,Stars of Ruin,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,45.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,,,,,,29.0,,,,
Sorcery,Stars of Ruin,4220.0,42206.0,Stars of Ruin,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,43.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,,,,,,29.0,,,,
Sorcery,Stars of Ruin,4220.0,42207.0,Stars of Ruin,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,43.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,,,,,,29.0,,,,
Sorcery,Stars of Ruin,4220.0,42210.0,Stars of Ruin - Charged,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,65.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,Charged Spell,,,,Charged Spell,36.0,,,,
Sorcery,Stars of Ruin,4220.0,42211.0,Stars of Ruin - Charged,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,65.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,Charged Spell,,,,Charged Spell,36.0,,,,
Sorcery,Stars of Ruin,4220.0,42212.0,Stars of Ruin - Charged,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,60.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,Charged Spell,,,,Charged Spell,36.0,,,,
Sorcery,Stars of Ruin,4220.0,42213.0,Stars of Ruin - Charged,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,60.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,Charged Spell,,,,Charged Spell,36.0,,,,
Sorcery,Stars of Ruin,4220.0,42214.0,Stars of Ruin - Charged,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,57.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,Charged Spell,,,,Charged Spell,36.0,,,,
Sorcery,Stars of Ruin,4220.0,42215.0,Stars of Ruin - Charged,1.0,32.0,32.0,29.0,36.0,43.0,0.0,0.0,,0.0,57.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15.0,0.0,Stars of Ruin,,Lusat's 1.15x,,,,,,,Charged Spell,,,,Charged Spell,36.0,,,,
