Name,Family
Lucidity,Glintstone
Magic Downpour,Glintstone
Magic Glintblade,Glintblade
Magma Breath,Dragon Communion
Magma Breath,Magma Attack
Magma Shot,Lava
Magma Shot,Magma Attack
Mantle of Thorns,Thorn/Aberrant
Messmer's Orb,Messmer's Flame
Meteorite,Gravity
Meteorite of Astel,Gravity
Midra's Flame of Frenzy,Frenzied Flame
Miriam's Vanishing,Glintstone
Multilayered Ring of Light,Golden Ring of Light
Night Comet,Night
Night Maiden's Mist,Glintstone
Night Shard,Night
Noble Presence,Noble's Presence
"O, Flame!",Giants' Flame
Order Healing,Golden Order Fundamentalist
Order's Blade,Golden Order Fundamentalist
Radagon's Rings of Light,Golden Order Fundamentalist
Radagon's Rings of Light,Golden Ring of Light
Rain of Fire,Messmer's Flame
Rancorcall,Death
Ranni's Dark Moon,Full Moon
Ranni's Dark Moon,Cold
Rellana's Twin Moons,Full Moon
Rennala's Full Moon,Full Moon
Rings of Spectral Light,Spectral Light
Roar of Rugalea,Bear Communion
Rock Blaster,Stonedigger
Rock Sling,Gravity
Roiling Magma,Lava
Roiling Magma,Magma Attack
Rotten Breath,Dragon Communion
Rykard's Rancor,Lava
Rykard's Rancor,Magma Attack
Scholar's Armament,Glintstone
Scholar's Shield,Glintstone
Scouring Black Flame,Godslayer
Shard Spiral,Glintstone
Shatter Earth,Stonedigger
Shattering Crystal,Crystalian
Smarag's Glintstone Breath,Dragon Communion
Spira,Spiral
Star Shower,Lusat's Sorcery
Star Shower,Glintstone
Starlight,Glintstone
Stars of Ruin,Stars of Ruin
Stone of Gurranq,Bestial
"Surge, O Flame!",Giants' Flame
Swift Glintstone Shard,Glintstone
Terra Magica,Glintstone
The Flame of Frenzy,Frenzied Flame
Theodorix's Magma,Dragon Communion
Theodorix's Magma,Magma Attack
Thops's Barrier,Glintstone
Tibia's Summons,Death
Triple Rings of Light,Golden Order Fundamentalist
Triple Rings of Light,Golden Ring of Light
Unendurable Frenzy,Frenzied Flame
Unseen Blade,Night
Unseen Form,Night
Vyke's Dragonbolt,Dragon Cult
Watchful Spirit,Watchful / Vengeful Spirits
"Whirl, O Flame!",Giants' Flame
Zamor Ice Storm,Cold
Heal,Heal
Heal,Two Fingers
Great Heal,Heal
Great Heal,Two Fingers
Lord's Heal,Heal
Lord's Heal,Two Fingers
Erdtree Heal,Heal
Erdtree Heal,Two Fingers
Urgent Heal,Heal
Urgent Heal,Two Fingers
Heal from Afar,Heal
Heal from Afar,Two Fingers
Blessing's Boon,Heal
Blessing's Boon,Two Fingers
Blessing of the Erdtree,Heal
Blessing of the Erdtree,Two Fingers
