Skill,WeaponClass
Stamp (Sweep),Greataxe
Stamp (Sweep),Flail
Stamp (Sweep),Colossal Weapon
Wild Strikes,Axe
Wild Strikes,Hammer
Wild Strikes,Greatsword
Wild Strikes,Curved Sword
Wild Strikes,Curved Greatsword
Wild Strikes,Great Katana
Wild Strikes,Great Hammer
Wild Strikes,Greataxe
Wild Strikes,Flail
Lion's Claw,Axe
Lion's Claw,Hammer
Lion's Claw,Thrusting Sword
Lion's Claw,Straight Sword
Lion's Claw,Greatsword
Lion's Claw,Light Greatsword
Lion's Claw,Colossal Sword
Lion's Claw,Curved Sword
Lion's Claw,Curved Greatsword
Lion's Claw,Katana
Lion's Claw,Great Katana
Lion's Claw,Twinblade
Lion's Claw,Great Hammer
Lion's Claw,Greataxe
Lion's Claw,Flail
Lion's Claw,Colossal Weapon
Cragblade,AllMelee
Cragblade,Dagger
Cragblade,Straight Sword
Cragblade,Greatsword
Cragblade,Light Greatsword
Cragblade,Colossal Sword
Cragblade,Curved Sword
Cragblade,Curved Greatsword
Cragblade,Katana
Cragblade,Great Katana
Cragblade,Twinblade
Cragblade,Backhand Blade
Cragblade,Thrusting Sword
Cragblade,Heavy Thrusting Sword
Cragblade,Hammer
Cragblade,Great Hammer
Cragblade,Axe
Cragblade,Greataxe
Cragblade,Flail
Cragblade,Spear
Cragblade,Great Spear
Cragblade,Halberd
Cragblade,Reaper
Cragblade,Fist
Cragblade,Claw
Cragblade,Beast Claw
Cragblade,Colossal Weapon
Cragblade,Thrusting Shield
Kick,AllMelee
Kick,Dagger
Kick,Throwing Blade
Kick,Straight Sword
Kick,Greatsword
Kick,Light Greatsword
Kick,Colossal Sword
Kick,Curved Sword
Kick,Curved Greatsword
Kick,Katana
Kick,Great Katana
Kick,Twinblade
Kick,Backhand Blade
Kick,Thrusting Sword
Kick,Heavy Thrusting Sword
Kick,Hammer
Kick,Great Hammer
Kick,Axe
Kick,Greataxe
Kick,Flail
Kick,Spear
Kick,Great Spear
Kick,Halberd
Kick,Reaper
Kick,Fist
Kick,Hand-to-Hand
Kick,Claw
Kick,Beast Claw
Kick,Whip
Kick,Perfume Bottle
Kick,Colossal Weapon
Kick,Crossbow
Endure,AllMelee
Endure,Dagger
Endure,Throwing Blade
Endure,Straight Sword
Endure,Greatsword
Endure,Light Greatsword
Endure,Colossal Sword
Endure,Curved Sword
Endure,Curved Greatsword
Endure,Katana
Endure,Great Katana
Endure,Twinblade
Endure,Backhand Blade
Endure,Thrusting Sword
Endure,Heavy Thrusting Sword
Endure,Hammer
Endure,Great Hammer
Endure,Axe
Endure,Greataxe
Endure,Flail
Endure,Spear
Endure,Great Spear
Endure,Halberd
Endure,Reaper
Endure,Fist
Endure,Hand-to-Hand
Endure,Claw
Endure,Beast Claw
Endure,Whip
Endure,Perfume Bottle
Endure,Colossal Weapon
Endure,Thrusting Shield
Ground Slam,AllMelee
Ground Slam,Dagger
Ground Slam,Throwing Blade
Ground Slam,Straight Sword
Ground Slam,Greatsword
Ground Slam,Light Greatsword
Ground Slam,Colossal Sword
Ground Slam,Curved Sword
Ground Slam,Curved Greatsword
Ground Slam,Katana
Ground Slam,Great Katana
Ground Slam,Twinblade
Ground Slam,Backhand Blade
Ground Slam,Thrusting Sword
Ground Slam,Heavy Thrusting Sword
Ground Slam,Hammer
Ground Slam,Great Hammer
Ground Slam,Axe
Ground Slam,Greataxe
Ground Slam,Flail
Ground Slam,Spear
Ground Slam,Great Spear
Ground Slam,Halberd
Ground Slam,Reaper
Ground Slam,Fist
Ground Slam,Hand-to-Hand
Ground Slam,Claw
Ground Slam,Beast Claw
Ground Slam,Whip
Ground Slam,Perfume Bottle
Ground Slam,Colossal Weapon
Ground Slam,Thrusting Shield
Earthshaker,Greataxe
Earthshaker,Hammer
Earthshaker,Colossal Weapon
Earthshaker,Colossal Sword
Earthshaker,Great Hammer
Earthshaker,Great Spear
Hoarah Loux's Earthshaker,AllMelee
Hoarah Loux's Earthshaker,Dagger
Hoarah Loux's Earthshaker,Throwing Blade
Hoarah Loux's Earthshaker,Straight Sword
Hoarah Loux's Earthshaker,Greatsword
Hoarah Loux's Earthshaker,Light Greatsword
Hoarah Loux's Earthshaker,Colossal Sword
Hoarah Loux's Earthshaker,Curved Sword
Hoarah Loux's Earthshaker,Curved Greatsword
Hoarah Loux's Earthshaker,Katana
Hoarah Loux's Earthshaker,Great Katana
Hoarah Loux's Earthshaker,Twinblade
Hoarah Loux's Earthshaker,Backhand Blade
Hoarah Loux's Earthshaker,Thrusting Sword
Hoarah Loux's Earthshaker,Heavy Thrusting Sword
Hoarah Loux's Earthshaker,Hammer
Hoarah Loux's Earthshaker,Great Hammer
Hoarah Loux's Earthshaker,Axe
Hoarah Loux's Earthshaker,Greataxe
Hoarah Loux's Earthshaker,Flail
Hoarah Loux's Earthshaker,Spear
Hoarah Loux's Earthshaker,Great Spear
Hoarah Loux's Earthshaker,Halberd
Hoarah Loux's Earthshaker,Reaper
Hoarah Loux's Earthshaker,Fist
Hoarah Loux's Earthshaker,Hand-to-Hand
Hoarah Loux's Earthshaker,Claw
Hoarah Loux's Earthshaker,Beast Claw
Hoarah Loux's Earthshaker,Whip
Hoarah Loux's Earthshaker,Perfume Bottle
Hoarah Loux's Earthshaker,Colossal Weapon
Hoarah Loux's Earthshaker,Thrusting Shield
War Cry,Dagger
War Cry,Thrusting Sword
War Cry,Whip
War Cry,Straight Sword
War Cry,Greatsword
War Cry,Light Greatsword
War Cry,Colossal Sword
War Cry,Curved Sword
War Cry,Curved Greatsword
War Cry,Katana
War Cry,Great Katana
War Cry,Twinblade
War Cry,Hammer
War Cry,Great Hammer
War Cry,Axe
War Cry,Greataxe
War Cry,Flail
War Cry,Spear
War Cry,Great Spear
War Cry,Halberd
War Cry,Reaper
War Cry,Fist
War Cry,Hand-to-Hand
War Cry,Claw
War Cry,Beast Claw
War Cry,Colossal Weapon
Barbaric Roar,Dagger
Barbaric Roar,Thrusting Sword
Barbaric Roar,Whip
Barbaric Roar,Straight Sword
Barbaric Roar,Greatsword
Barbaric Roar,Light Greatsword
Barbaric Roar,Colossal Sword
Barbaric Roar,Curved Sword
Barbaric Roar,Curved Greatsword
Barbaric Roar,Katana
Barbaric Roar,Great Katana
Barbaric Roar,Twinblade
Barbaric Roar,Hammer
Barbaric Roar,Great Hammer
Barbaric Roar,Axe
Barbaric Roar,Greataxe
Barbaric Roar,Flail
Barbaric Roar,Spear
Barbaric Roar,Great Spear
Barbaric Roar,Halberd
Barbaric Roar,Reaper
Barbaric Roar,Fist
Barbaric Roar,Hand-to-Hand
Barbaric Roar,Claw
Barbaric Roar,Beast Claw
Barbaric Roar,Colossal Weapon
Braggart's Roar,Dagger
Braggart's Roar,Thrusting Sword
Braggart's Roar,Whip
Braggart's Roar,Straight Sword
Braggart's Roar,Greatsword
Braggart's Roar,Light Greatsword
Braggart's Roar,Colossal Sword
Braggart's Roar,Curved Sword
Braggart's Roar,Curved Greatsword
Braggart's Roar,Katana
Braggart's Roar,Great Katana
Braggart's Roar,Twinblade
Braggart's Roar,Hammer
Braggart's Roar,Great Hammer
Braggart's Roar,Axe
Braggart's Roar,Greataxe
Braggart's Roar,Flail
Braggart's Roar,Spear
Braggart's Roar,Great Spear
Braggart's Roar,Halberd
Braggart's Roar,Reaper
Braggart's Roar,Fist
Braggart's Roar,Hand-to-Hand
Braggart's Roar,Claw
Braggart's Roar,Beast Claw
Braggart's Roar,Colossal Weapon
Troll's Roar,Colossal Sword
Troll's Roar,Axe
Troll's Roar,Hammer
Troll's Roar,Greatsword
Troll's Roar,Curved Greatsword
Troll's Roar,Great Katana
Troll's Roar,Heavy Thrusting Sword
Troll's Roar,Great Hammer
Troll's Roar,Greataxe
Troll's Roar,Colossal Weapon
Spinning Slash,Axe
Spinning Slash,Polearm
Spinning Slash,Dagger
Spinning Slash,Throwing Blade
Spinning Slash,Straight Sword
Spinning Slash,Greatsword
Spinning Slash,Light Greatsword
Spinning Slash,Curved Sword
Spinning Slash,Curved Greatsword
Spinning Slash,Katana
Spinning Slash,Great Katana
Spinning Slash,Twinblade
Spinning Slash,Backhand Blade
Spinning Slash,Greataxe
Spinning Slash,Spear
Spinning Slash,Great Spear
Spinning Slash,Halberd
Impaling Thrust,Dagger
Impaling Thrust,Throwing Blade
Impaling Thrust,Straight Sword
Impaling Thrust,Greatsword
Impaling Thrust,Light Greatsword
Impaling Thrust,Katana
Impaling Thrust,Great Katana
Impaling Thrust,Twinblade
Impaling Thrust,Thrusting Sword
Impaling Thrust,Heavy Thrusting Sword
Impaling Thrust,Spear
Impaling Thrust,Great Spear
Impaling Thrust,Halberd
Impaling Thrust,Claw
Impaling Thrust,Thrusting Shield
Piercing Fang,Straight Sword
Piercing Fang,Greatsword
Piercing Fang,Light Greatsword
Piercing Fang,Katana
Piercing Fang,Great Katana
Piercing Fang,Twinblade
Piercing Fang,Thrusting Sword
Piercing Fang,Heavy Thrusting Sword
Piercing Fang,Spear
Piercing Fang,Great Spear
Piercing Fang,Halberd
Piercing Fang,Thrusting Shield
Repeating Thrust,Dagger
Repeating Thrust,Throwing Blade
Repeating Thrust,Straight Sword
Repeating Thrust,Greatsword
Repeating Thrust,Light Greatsword
Repeating Thrust,Katana
Repeating Thrust,Great Katana
Repeating Thrust,Twinblade
Repeating Thrust,Thrusting Sword
Repeating Thrust,Heavy Thrusting Sword
Repeating Thrust,Spear
Repeating Thrust,Great Spear
Repeating Thrust,Halberd
Repeating Thrust,Thrusting Shield
Double Slash,Polearm
Double Slash,Dagger
Double Slash,Throwing Blade
Double Slash,Straight Sword
Double Slash,Greatsword
Double Slash,Light Greatsword
Double Slash,Curved Sword
Double Slash,Curved Greatsword
Double Slash,Katana
Double Slash,Great Katana
Double Slash,Twinblade
Double Slash,Halberd
Double Slash,Reaper
Sword Dance,Axe
Sword Dance,Colossal Weapon
Sword Dance,Spear
Sword Dance,Dagger
Sword Dance,Throwing Blade
Sword Dance,Straight Sword
Sword Dance,Greatsword
Sword Dance,Light Greatsword
Sword Dance,Curved Sword
Sword Dance,Curved Greatsword
Sword Dance,Katana
Sword Dance,Great Katana
Sword Dance,Twinblade
Sword Dance,Backhand Blade
Sword Dance,Greataxe
Sword Dance,Halberd
Sword Dance,Reaper
Unsheathe,Katana
Quickstep,AllMelee
Quickstep,Dagger
Quickstep,Throwing Blade
Quickstep,Straight Sword
Quickstep,Greatsword
Quickstep,Light Greatsword
Quickstep,Colossal Sword
Quickstep,Curved Sword
Quickstep,Curved Greatsword
Quickstep,Katana
Quickstep,Great Katana
Quickstep,Twinblade
Quickstep,Backhand Blade
Quickstep,Thrusting Sword
Quickstep,Heavy Thrusting Sword
Quickstep,Hammer
Quickstep,Great Hammer
Quickstep,Axe
Quickstep,Greataxe
Quickstep,Flail
Quickstep,Spear
Quickstep,Great Spear
Quickstep,Halberd
Quickstep,Reaper
Quickstep,Fist
Quickstep,Hand-to-Hand
Quickstep,Claw
Quickstep,Beast Claw
Quickstep,Whip
Quickstep,Perfume Bottle
Quickstep,Colossal Weapon
Quickstep,Thrusting Shield
Bloodhound's Step,AllMelee
Bloodhound's Step,Dagger
Bloodhound's Step,Throwing Blade
Bloodhound's Step,Straight Sword
Bloodhound's Step,Greatsword
Bloodhound's Step,Light Greatsword
Bloodhound's Step,Colossal Sword
Bloodhound's Step,Curved Sword
Bloodhound's Step,Curved Greatsword
Bloodhound's Step,Katana
Bloodhound's Step,Great Katana
Bloodhound's Step,Twinblade
Bloodhound's Step,Backhand Blade
Bloodhound's Step,Thrusting Sword
Bloodhound's Step,Heavy Thrusting Sword
Bloodhound's Step,Hammer
Bloodhound's Step,Great Hammer
Bloodhound's Step,Axe
Bloodhound's Step,Greataxe
Bloodhound's Step,Flail
Bloodhound's Step,Spear
Bloodhound's Step,Great Spear
Bloodhound's Step,Halberd
Bloodhound's Step,Reaper
Bloodhound's Step,Fist
Bloodhound's Step,Hand-to-Hand
Bloodhound's Step,Claw
Bloodhound's Step,Beast Claw
Bloodhound's Step,Whip
Bloodhound's Step,Perfume Bottle
Bloodhound's Step,Colossal Weapon
Bloodhound's Step,Thrusting Shield
Raptor of the Mists,AllMelee
Raptor of the Mists,Dagger
Raptor of the Mists,Throwing Blade
Raptor of the Mists,Straight Sword
Raptor of the Mists,Greatsword
Raptor of the Mists,Light Greatsword
Raptor of the Mists,Colossal Sword
Raptor of the Mists,Curved Sword
Raptor of the Mists,Curved Greatsword
Raptor of the Mists,Katana
Raptor of the Mists,Great Katana
Raptor of the Mists,Twinblade
Raptor of the Mists,Backhand Blade
Raptor of the Mists,Thrusting Sword
Raptor of the Mists,Heavy Thrusting Sword
Raptor of the Mists,Hammer
Raptor of the Mists,Great Hammer
Raptor of the Mists,Axe
Raptor of the Mists,Greataxe
Raptor of the Mists,Flail
Raptor of the Mists,Spear
Raptor of the Mists,Great Spear
Raptor of the Mists,Halberd
Raptor of the Mists,Reaper
Raptor of the Mists,Fist
Raptor of the Mists,Hand-to-Hand
Raptor of the Mists,Claw
Raptor of the Mists,Beast Claw
Raptor of the Mists,Whip
Raptor of the Mists,Perfume Bottle
Raptor of the Mists,Colossal Weapon
Raptor of the Mists,Thrusting Shield
Beast's Roar,AllMelee
Beast's Roar,Dagger
Beast's Roar,Throwing Blade
Beast's Roar,Straight Sword
Beast's Roar,Greatsword
Beast's Roar,Light Greatsword
Beast's Roar,Colossal Sword
Beast's Roar,Curved Sword
Beast's Roar,Curved Greatsword
Beast's Roar,Katana
Beast's Roar,Great Katana
Beast's Roar,Twinblade
Beast's Roar,Backhand Blade
Beast's Roar,Thrusting Sword
Beast's Roar,Heavy Thrusting Sword
Beast's Roar,Hammer
Beast's Roar,Great Hammer
Beast's Roar,Axe
Beast's Roar,Greataxe
Beast's Roar,Flail
Beast's Roar,Spear
Beast's Roar,Great Spear
Beast's Roar,Halberd
Beast's Roar,Reaper
Beast's Roar,Fist
Beast's Roar,Hand-to-Hand
Beast's Roar,Claw
Beast's Roar,Beast Claw
Beast's Roar,Whip
Beast's Roar,Perfume Bottle
Beast's Roar,Colossal Weapon
Beast's Roar,Thrusting Shield
Square Off,Straight Sword
Charge Forth,Polearm
Charge Forth,Heavy Thrusting Sword
Charge Forth,Twinblade
Charge Forth,Spear
Charge Forth,Great Spear
Charge Forth,Halberd
Charge Forth,Thrusting Shield
Spinning Strikes,Polearm
Spinning Strikes,Spear
Spinning Strikes,Halberd
Spinning Strikes,Reaper
Giant Hunt,Colossal Weapon
Giant Hunt,Spear
Giant Hunt,Twinblade
Giant Hunt,Greatsword
Giant Hunt,Colossal Sword
Giant Hunt,Great Katana
Giant Hunt,Heavy Thrusting Sword
Giant Hunt,Great Spear
Giant Hunt,Halberd
Giant Hunt,Thrusting Shield
Storm Blade,AllMelee
Storm Blade,Dagger
Storm Blade,Throwing Blade
Storm Blade,Straight Sword
Storm Blade,Greatsword
Storm Blade,Light Greatsword
Storm Blade,Curved Sword
Storm Blade,Curved Greatsword
Storm Blade,Katana
Storm Blade,Great Katana
Storm Blade,Thrusting Sword
Storm Assault,Polearm
Storm Assault,Heavy Thrusting Sword
Storm Assault,Twinblade
Storm Assault,Spear
Storm Assault,Great Spear
Storm Assault,Halberd
Storm Assault,Thrusting Shield
Stormcaller,Axe
Stormcaller,Hammer
Stormcaller,Polearm
Stormcaller,Colossal Weapon
Stormcaller,Straight Sword
Stormcaller,Greatsword
Stormcaller,Light Greatsword
Stormcaller,Curved Sword
Stormcaller,Curved Greatsword
Stormcaller,Katana
Stormcaller,Great Katana
Stormcaller,Twinblade
Stormcaller,Great Hammer
Stormcaller,Greataxe
Stormcaller,Flail
Stormcaller,Spear
Stormcaller,Great Spear
Stormcaller,Halberd
Stormcaller,Reaper
Storm Stomp,AllMelee
Storm Stomp,Dagger
Storm Stomp,Throwing Blade
Storm Stomp,Straight Sword
Storm Stomp,Greatsword
Storm Stomp,Light Greatsword
Storm Stomp,Colossal Sword
Storm Stomp,Curved Sword
Storm Stomp,Curved Greatsword
Storm Stomp,Katana
Storm Stomp,Great Katana
Storm Stomp,Twinblade
Storm Stomp,Backhand Blade
Storm Stomp,Thrusting Sword
Storm Stomp,Heavy Thrusting Sword
Storm Stomp,Hammer
Storm Stomp,Great Hammer
Storm Stomp,Axe
Storm Stomp,Greataxe
Storm Stomp,Flail
Storm Stomp,Spear
Storm Stomp,Great Spear
Storm Stomp,Halberd
Storm Stomp,Reaper
Storm Stomp,Fist
Storm Stomp,Hand-to-Hand
Storm Stomp,Claw
Storm Stomp,Beast Claw
Storm Stomp,Whip
Storm Stomp,Perfume Bottle
Storm Stomp,Colossal Weapon
Storm Stomp,Thrusting Shield
Vacuum Slice,Axe
Vacuum Slice,Dagger
Vacuum Slice,Straight Sword
Vacuum Slice,Greatsword
Vacuum Slice,Colossal Sword
Vacuum Slice,Curved Sword
Vacuum Slice,Curved Greatsword
Vacuum Slice,Katana
Vacuum Slice,Twinblade
Vacuum Slice,Thrusting Sword
Vacuum Slice,Heavy Thrusting Sword
Phantom Slash,Polearm
Phantom Slash,Twinblade
Phantom Slash,Spear
Phantom Slash,Halberd
Phantom Slash,Reaper
Determination,AllMelee
Determination,Dagger
Determination,Straight Sword
Determination,Greatsword
Determination,Light Greatsword
Determination,Colossal Sword
Determination,Curved Sword
Determination,Curved Greatsword
Determination,Katana
Determination,Great Katana
Determination,Twinblade
Determination,Backhand Blade
Determination,Thrusting Sword
Determination,Heavy Thrusting Sword
Determination,Hammer
Determination,Great Hammer
Determination,Axe
Determination,Greataxe
Determination,Flail
Determination,Spear
Determination,Great Spear
Determination,Halberd
Determination,Reaper
Determination,Fist
Determination,Claw
Determination,Beast Claw
Determination,Whip
Determination,Colossal Weapon
Determination,Thrusting Shield
Royal Knight's Resolve,AllMelee
Royal Knight's Resolve,Dagger
Royal Knight's Resolve,Straight Sword
Royal Knight's Resolve,Greatsword
Royal Knight's Resolve,Light Greatsword
Royal Knight's Resolve,Colossal Sword
Royal Knight's Resolve,Curved Sword
Royal Knight's Resolve,Curved Greatsword
Royal Knight's Resolve,Katana
Royal Knight's Resolve,Great Katana
Royal Knight's Resolve,Twinblade
Royal Knight's Resolve,Backhand Blade
Royal Knight's Resolve,Thrusting Sword
Royal Knight's Resolve,Heavy Thrusting Sword
Royal Knight's Resolve,Hammer
Royal Knight's Resolve,Great Hammer
Royal Knight's Resolve,Axe
Royal Knight's Resolve,Greataxe
Royal Knight's Resolve,Flail
Royal Knight's Resolve,Spear
Royal Knight's Resolve,Great Spear
Royal Knight's Resolve,Halberd
Royal Knight's Resolve,Reaper
Royal Knight's Resolve,Fist
Royal Knight's Resolve,Claw
Royal Knight's Resolve,Beast Claw
Royal Knight's Resolve,Whip
Royal Knight's Resolve,Colossal Weapon
Royal Knight's Resolve,Thrusting Shield
Glintstone Pebble,Polearm
Glintstone Pebble,Dagger
Glintstone Pebble,Throwing Blade
Glintstone Pebble,Straight Sword
Glintstone Pebble,Greatsword
Glintstone Pebble,Light Greatsword
Glintstone Pebble,Curved Sword
Glintstone Pebble,Curved Greatsword
Glintstone Pebble,Katana
Glintstone Pebble,Great Katana
Glintstone Pebble,Twinblade
Glintstone Pebble,Thrusting Sword
Glintstone Pebble,Heavy Thrusting Sword
Glintstone Pebble,Spear
Glintstone Pebble,Great Spear
Glintstone Pebble,Halberd
Glintstone Pebble,Thrusting Shield
Glintblade Phalanx,Polearm
Glintblade Phalanx,Dagger
Glintblade Phalanx,Throwing Blade
Glintblade Phalanx,Straight Sword
Glintblade Phalanx,Greatsword
Glintblade Phalanx,Light Greatsword
Glintblade Phalanx,Curved Sword
Glintblade Phalanx,Curved Greatsword
Glintblade Phalanx,Katana
Glintblade Phalanx,Great Katana
Glintblade Phalanx,Twinblade
Glintblade Phalanx,Thrusting Sword
Glintblade Phalanx,Heavy Thrusting Sword
Glintblade Phalanx,Spear
Glintblade Phalanx,Great Spear
Glintblade Phalanx,Halberd
Carian Greatsword,Dagger
Carian Greatsword,Throwing Blade
Carian Greatsword,Straight Sword
Carian Greatsword,Greatsword
Carian Greatsword,Light Greatsword
Carian Greatsword,Curved Sword
Carian Greatsword,Curved Greatsword
Carian Greatsword,Katana
Carian Greatsword,Great Katana
Carian Greatsword,Twinblade
Carian Greatsword,Thrusting Sword
Carian Greatsword,Heavy Thrusting Sword
Carian Grandeur,Dagger
Carian Grandeur,Throwing Blade
Carian Grandeur,Straight Sword
Carian Grandeur,Greatsword
Carian Grandeur,Light Greatsword
Carian Grandeur,Curved Sword
Carian Grandeur,Curved Greatsword
Carian Grandeur,Katana
Carian Grandeur,Great Katana
Carian Grandeur,Twinblade
Carian Grandeur,Thrusting Sword
Carian Grandeur,Heavy Thrusting Sword
Spinning Weapon,Axe
Spinning Weapon,Hammer
Spinning Weapon,Polearm
Spinning Weapon,Glintstone Staff
