SkillFamily,Hit,UniqueWeapon,PhysMv,MagicMv,FireMv,LtngMv,HolyMv,StatusMv,PoiseMv,StaminaCost,AtkPhys,AtkMag,AtkFire,AtkLtng,AtkHoly,AddBaseAtk,OverwriteScaling,LackingFp
Wild Strikes R2,Wild Strikes R2 [1],Any,44.0,44.0,44.0,44.0,44.0,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R2,Wild Strikes R2 [2],Any,203.0,203.0,203.0,203.0,203.0,100.0,600.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,Wild Strikes - Loop (Lacking FP),Any,50.0,50.0,50.0,50.0,50.0,100.0,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,Wild Strikes R1 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,Wild Strikes R1 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,143.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,Wild Strikes R2 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,Wild Strikes R2 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,180.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes,[Curved Sword] Wild Strikes - Loop [1],Any,126.0,126.0,126.0,126.0,126.0,100.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,[Curved Sword] Wild Strikes - Loop [2],Any,119.0,119.0,119.0,119.0,119.0,100.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,[Curved Sword] Wild Strikes R1 [1],Any,52.0,52.0,52.0,52.0,52.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,[Curved Sword] Wild Strikes R1 [2],Any,183.0,183.0,183.0,183.0,183.0,100.0,400.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R2,[Curved Sword] Wild Strikes R2 [1],Any,52.0,52.0,52.0,52.0,52.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R2,[Curved Sword] Wild Strikes R2 [2],Any,243.0,243.0,243.0,243.0,243.0,100.0,600.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,[Curved Sword] Wild Strikes - Loop (Lacking FP),Any,50.0,50.0,50.0,50.0,50.0,100.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,[Curved Sword] Wild Strikes R1 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,[Curved Sword] Wild Strikes R1 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,150.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,[Curved Sword] Wild Strikes R2 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,[Curved Sword] Wild Strikes R2 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,200.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes,[Axe] Wild Strikes - Loop [1],Any,126.0,126.0,126.0,126.0,126.0,100.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,[Axe] Wild Strikes - Loop [2],Any,119.0,119.0,119.0,119.0,119.0,100.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,[Axe] Wild Strikes R1 [1],Any,52.0,52.0,52.0,52.0,52.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,[Axe] Wild Strikes R1 [2],Any,183.0,183.0,183.0,183.0,183.0,100.0,400.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R2,[Axe] Wild Strikes R2 [1],Any,52.0,52.0,52.0,52.0,52.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R2,[Axe] Wild Strikes R2 [2],Any,243.0,243.0,243.0,243.0,243.0,100.0,600.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,[Axe] Wild Strikes - Loop (Lacking FP),Any,50.0,50.0,50.0,50.0,50.0,100.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,[Axe] Wild Strikes R1 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,[Axe] Wild Strikes R1 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,150.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,[Axe] Wild Strikes R2 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,[Axe] Wild Strikes R2 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,200.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes,[Hammer] Wild Strikes - Loop [1],Any,126.0,126.0,126.0,126.0,126.0,100.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,[Hammer] Wild Strikes - Loop [2],Any,119.0,119.0,119.0,119.0,119.0,100.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,[Hammer] Wild Strikes R1 [1],Any,52.0,52.0,52.0,52.0,52.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,[Hammer] Wild Strikes R1 [2],Any,183.0,183.0,183.0,183.0,183.0,100.0,400.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R2,[Hammer] Wild Strikes R2 [1],Any,52.0,52.0,52.0,52.0,52.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R2,[Hammer] Wild Strikes R2 [2],Any,243.0,243.0,243.0,243.0,243.0,100.0,600.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,[Hammer] Wild Strikes - Loop (Lacking FP),Any,50.0,50.0,50.0,50.0,50.0,100.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,[Hammer] Wild Strikes R1 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,[Hammer] Wild Strikes R1 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,150.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,[Hammer] Wild Strikes R2 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,[Hammer] Wild Strikes R2 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,200.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes,[Flail] Wild Strikes - Loop [1],Any,126.0,126.0,126.0,126.0,126.0,100.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,[Flail] Wild Strikes - Loop [2],Any,119.0,119.0,119.0,119.0,119.0,100.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,[Flail] Wild Strikes R1 [1],Any,52.0,52.0,52.0,52.0,52.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,[Flail] Wild Strikes R1 [2],Any,183.0,183.0,183.0,183.0,183.0,100.0,400.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R2,[Flail] Wild Strikes R2 [1],Any,52.0,52.0,52.0,52.0,52.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R2,[Flail] Wild Strikes R2 [2],Any,243.0,243.0,243.0,243.0,243.0,100.0,600.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,[Flail] Wild Strikes - Loop (Lacking FP),Any,50.0,50.0,50.0,50.0,50.0,100.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,[Flail] Wild Strikes R1 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R1,[Flail] Wild Strikes R1 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,150.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,[Flail] Wild Strikes R2 [1] (Lacking FP),Any,25.0,25.0,25.0,25.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes R2,[Flail] Wild Strikes R2 [2] (Lacking FP),Any,90.0,90.0,90.0,90.0,90.0,100.0,200.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Lion's Claw,Lion's Claw,Any,240.0,240.0,240.0,240.0,240.0,100.0,600.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Lion's Claw,Lion's Claw (Lacking FP),Any,138.0,138.0,138.0,138.0,138.0,100.0,250.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Savage Lion's Claw,Savage Lion's Claw #1,Any,195.0,195.0,195.0,195.0,195.0,100.0,250.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Savage Lion's Claw,Savage Lion's Claw #2 [1],Any,68.0,68.0,68.0,68.0,68.0,100.0,200.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Savage Lion's Claw,Savage Lion's Claw #2 [2],Any,155.0,155.0,155.0,155.0,155.0,100.0,400.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Savage Lion's Claw,Savage Lion's Claw #1 (Lacking FP),Any,120.0,120.0,120.0,120.0,120.0,100.0,100.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Savage Lion's Claw,Savage Lion's Claw #2 [1] (Lacking FP),Any,110.0,110.0,110.0,110.0,110.0,100.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Savage Lion's Claw,Savage Lion's Claw #2 [2] (Lacking FP),Any,130.0,130.0,130.0,130.0,130.0,100.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Cragblade,Cragblade [1],Any,100.0,100.0,100.0,100.0,100.0,100.0,150.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Cragblade,Cragblade [2],Any,80.0,80.0,80.0,80.0,80.0,100.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Cragblade,Cragblade [1] (Lacking FP),Any,80.0,80.0,80.0,80.0,80.0,100.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Cragblade,Cragblade [2] (Lacking FP),Any,70.0,70.0,70.0,70.0,70.0,100.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [1],Any,33.0,33.0,33.0,33.0,33.0,65.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [2],Any,33.0,33.0,33.0,33.0,33.0,65.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [3],Any,33.0,33.0,33.0,33.0,33.0,65.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [4],Any,33.0,33.0,33.0,33.0,33.0,65.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [5],Any,115.0,115.0,115.0,115.0,115.0,65.0,100.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
Spinning Gravity Thrust,Spinning Gravity Thrust #2 [1],Any,33.0,33.0,33.0,33.0,33.0,65.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
Spinning Gravity Thrust,Spinning Gravity Thrust #2 [2],Any,33.0,33.0,33.0,33.0,33.0,65.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
Spinning Gravity Thrust,Spinning Gravity Thrust #2 [3],Any,33.0,33.0,33.0,33.0,33.0,65.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
Spinning Gravity Thrust,Spinning Gravity Thrust #2 [4],Any,125.0,125.0,125.0,125.0,125.0,65.0,240.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [1] (Lacking FP),Any,20.0,20.0,20.0,20.0,20.0,65.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [2] (Lacking FP),Any,20.0,20.0,20.0,20.0,20.0,65.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [3] (Lacking FP),Any,20.0,20.0,20.0,20.0,20.0,65.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [4] (Lacking FP),Any,20.0,20.0,20.0,20.0,20.0,65.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Spinning Gravity Thrust,Spinning Gravity Thrust #1 [5] (Lacking FP),Any,50.0,50.0,50.0,50.0,50.0,65.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Spinning Gravity Thrust,Spinning Gravity Thrust #2 [1] (Lacking FP),Any,20.0,20.0,20.0,20.0,20.0,65.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Spinning Gravity Thrust,Spinning Gravity Thrust #2 [2] (Lacking FP),Any,20.0,20.0,20.0,20.0,20.0,65.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Spinning Gravity Thrust,Spinning Gravity Thrust #2 [3] (Lacking FP),Any,20.0,20.0,20.0,20.0,20.0,65.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Spinning Gravity Thrust,Spinning Gravity Thrust #2 [4] (Lacking FP),Any,50.0,50.0,50.0,50.0,50.0,65.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Kick,Kick,Any,0.0,0.0,0.0,0.0,30.0,0.0,0.0,16.0,30.0,0.0,0.0,0.0,0.0,1.0,No Scaling,0.0
Kick,Kick (Lacking FP),Any,0.0,0.0,0.0,0.0,10.0,0.0,50.0,16.0,30.0,0.0,0.0,0.0,0.0,1.0,No Scaling,1.0
Ground Slam,Ground Slam - Tush,Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,264.0,0.0,0.0,0.0,0.0,1.0,Strength,0.0
Ground Slam,Ground Slam - Shockwave,Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,1.0,Strength,0.0
Ground Slam,Ground Slam - Tush (Lacking FP),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,120.0,0.0,0.0,0.0,0.0,1.0,Strength,1.0
Ground Slam,Ground Slam - Shockwave (Lacking FP),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Strength,1.0
Earthshaker,Earthshaker [1],Any,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Earthshaker,Earthshaker [2],Any,60.0,60.0,60.0,60.0,60.0,50.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Earthshaker,Earthshaker - Shockwave,Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,Strength,0.0
Earthshaker R2,Earthshaker R2,Any,140.0,140.0,140.0,140.0,140.0,100.0,140.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Earthshaker,Earthshaker (Lacking FP),Any,80.0,80.0,80.0,80.0,80.0,100.0,80.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Earthshaker,Earthshaker (Lacking FP),Any,40.0,40.0,40.0,40.0,40.0,50.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Earthshaker,Earthshaker - Shockwave (Lacking FP),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,1.0,Strength,1.0
Earthshaker R2,Earthshaker R2 (Lacking FP),Any,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Hoarah Loux's Earthshaker,Hoarah Loux's Earthshaker - Slam 1,Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,220.0,0.0,0.0,0.0,0.0,1.0,Strength,0.0
Hoarah Loux's Earthshaker,Hoarah Loux's Earthshaker - Slam 2,Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,250.0,0.0,0.0,0.0,0.0,1.0,Strength,0.0
Hoarah Loux's Earthshaker,Hoarah Loux's Earthshaker - Roar Tick,Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Strength,0.0
Hoarah Loux's Earthshaker,Hoarah Loux's Earthshaker - Roar Tick,Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Strength,0.0
Hoarah Loux's Earthshaker,Hoarah Loux's Earthshaker - Initial Roar,Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Strength,0.0
War Cry,War Cry - Roar,Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,Strength,0.0
War Cry,War Cry - Roar (Lacking FP),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
War Cry 1h R2,[Straight Sword] War Cry 1h R2 #1,Any,135.0,135.0,135.0,135.0,135.0,100.0,200.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry Charged 1h R2,[Straight Sword] War Cry Charged 1h R2 #1 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 1h R2,[Straight Sword] War Cry Charged 1h R2 #1 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 1h R2,[Straight Sword] War Cry Charged 1h R2 #1,Any,175.0,175.0,175.0,175.0,175.0,200.0,600.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry 1h R2,[Straight Sword] War Cry 1h R2 #2,Any,135.0,135.0,135.0,135.0,135.0,100.0,200.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry Charged 1h R2,[Straight Sword] War Cry Charged 1h R2 #2 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 1h R2,[Straight Sword] War Cry Charged 1h R2 #2,Any,178.0,178.0,178.0,178.0,178.0,200.0,600.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry 2h R2,[Straight Sword] War Cry 2h R2 #1,Any,145.0,145.0,145.0,145.0,145.0,100.0,240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry Charged 2h R2,[Straight Sword] War Cry Charged 2h R2 #1 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 2h R2,[Straight Sword] War Cry Charged 2h R2 #1 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 2h R2,[Straight Sword] War Cry Charged 2h R2 #1,Any,185.0,185.0,185.0,185.0,185.0,200.0,660.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry 2h R2,[Straight Sword] War Cry 2h R2 #2,Any,145.0,145.0,145.0,145.0,145.0,100.0,240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry Charged 2h R2,[Straight Sword] War Cry Charged 2h R2 #2 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 2h R2,[Straight Sword] War Cry Charged 2h R2 #2,Any,188.0,188.0,188.0,188.0,188.0,200.0,660.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry 1h R2,[Light Greatsword] War Cry 1h R2 #1,Any,135.0,135.0,135.0,135.0,135.0,100.0,200.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry Charged 1h R2,[Light Greatsword] War Cry Charged 1h R2 #1 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 1h R2,[Light Greatsword] War Cry Charged 1h R2 #1 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 1h R2,[Light Greatsword] War Cry Charged 1h R2 #1,Any,175.0,175.0,175.0,175.0,175.0,200.0,600.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry 1h R2,[Light Greatsword] War Cry 1h R2 #2,Any,135.0,135.0,135.0,135.0,135.0,100.0,200.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry Charged 1h R2,[Light Greatsword] War Cry Charged 1h R2 #2 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 1h R2,[Light Greatsword] War Cry Charged 1h R2 #2,Any,178.0,178.0,178.0,178.0,178.0,200.0,600.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry 2h R2,[Light Greatsword] War Cry 2h R2 #1,Any,145.0,145.0,145.0,145.0,145.0,100.0,240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry Charged 2h R2,[Light Greatsword] War Cry Charged 2h R2 #1 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 2h R2,[Light Greatsword] War Cry Charged 2h R2 #1 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 2h R2,[Light Greatsword] War Cry Charged 2h R2 #1,Any,185.0,185.0,185.0,185.0,185.0,200.0,660.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry 2h R2,[Light Greatsword] War Cry 2h R2 #2,Any,145.0,145.0,145.0,145.0,145.0,100.0,240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry Charged 2h R2,[Light Greatsword] War Cry Charged 2h R2 #2 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
War Cry Charged 2h R2,[Light Greatsword] War Cry Charged 2h R2 #2,Any,188.0,188.0,188.0,188.0,188.0,200.0,660.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry 1h R2,[Greatsword] War Cry 1h R2 #1,Any,135.0,135.0,135.0,135.0,135.0,100.0,200.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
War Cry Charged 1h R2,[Greatsword] War Cry Charged 1h R2 #1 (Tick),Any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0
