Location,Name,ShortName,IsDlc,Health,DefPhys,DefStrike,DefSlash,DefPierce,DefMagic,DefFire,DefLtng,DefHoly,NegPhys,NegStrike,NegSlash,NegPierce,NegMagic,NegFire,NegLtng,NegHoly,ResPoison,ResRot,ResBleed,ResFrost,ResSleep,ResMadness,ResDeath,Poise
Caelid - Southern Aeonia Swamp Bank,Death Rite Bird [Boss],Death Rite Bird,0.0,7952.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,543.0,9999.0,9999.0,9999.0,9999.0,9999.0,120.0
Caelid - Southern Aeonia Swamp Bank,Night's Cavalry (Flail) [Boss],Night's Cavalry (Flail),0.0,3269.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,332.0,332.0,543.0,543.0,9999.0,9999.0,9999.0,80.0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Battlemage Hugues [Boss],Battlemage Hugues,0.0,4095.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,10.0,0.0,0.0,40.0,20.0,20.0,0.0,181.0,181.0,241.0,241.0,241.0,9999.0,9999.0,65.0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Nox Priest [Boss],Nox Priest,0.0,1631.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,0.0,0.0,-10.0,0.0,20.0,0.0,0.0,-20.0,326.0,326.0,326.0,326.0,237.0,9999.0,9999.0,65.0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Nox Swordstress [Boss],Nox Swordstress,0.0,1631.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,0.0,0.0,-10.0,0.0,20.0,0.0,0.0,-20.0,326.0,326.0,326.0,326.0,237.0,9999.0,9999.0,65.0
Caelid Catacombs,Cemetery Shade [Boss],Cemetery Shade,0.0,1467.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,10.0,10.0,10.0,35.0,0.0,0.0,0.0,-20.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,70.0
"Capital Outskirts - Capital Rampart, Auriza Side Tomb Entrance",Draconic Tree Sentinel [Boss],Draconic Tree Sentinel,0.0,8398.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,10.0,10.0,35.0,10.0,20.0,40.0,40.0,20.0,337.0,337.0,552.0,552.0,337.0,9999.0,9999.0,80.0
Capital Outskirts - Minor Erdtree,Death Rite Bird [Boss],Death Rite Bird,0.0,8575.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,552.0,9999.0,9999.0,9999.0,9999.0,9999.0,120.0
"Capital Outskirts - Northeast Outer Wall Battleground, Hermit Merchant's Shack",Bell Bearing Hunter [Boss],Bell Bearing Hunter,0.0,6216.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,337.0,337.0,552.0,552.0,337.0,9999.0,9999.0,80.0
Cave of the Forlorn,Misbegotten Crusader [Boss],Misbegotten Crusader,0.0,9130.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,10.0,10.0,0.0,10.0,20.0,0.0,20.0,40.0,367.0,367.0,367.0,367.0,367.0,9999.0,9999.0,80.0
Chapel of Anticipation,Grafted Scion [Boss],Grafted Scion,0.0,2596.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,0.0,0.0,-10.0,0.0,20.0,20.0,20.0,20.0,324.0,324.0,235.0,235.0,235.0,9999.0,9999.0,80.0
Cliffbottom Catacombs,Burial Watchdog (Scepter) [Boss],Burial Watchdog (Scepter),0.0,2383.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,35.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
Coastal Cave,Demi-Human Beastman [Boss],Demi-Human Beastman,0.0,1218.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,-10.0,-10.0,-40.0,-10.0,-20.0,-20.0,-20.0,-20.0,169.0,169.0,226.0,226.0,169.0,9999.0,9999.0,65.0
"Consecrated Snowfield - Ordina, Liturgical Town",Death Rite Bird [Boss],Death Rite Bird,0.0,17625.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,653.0,9999.0,9999.0,9999.0,9999.0,9999.0,120.0
Consecrated Snowfield Catacombs,Putrid Grave Warden Duelist [Boss],Putrid Grave Warden Duelist,0.0,8800.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,-10.0,0.0,0.0,-20.0,0.0,0.0,601.0,1292.0,200.0,267.0,267.0,9999.0,9999.0,65.0
Crumbling Farum Azula,Beast Clergyman [Boss],Beast Clergyman,0.0,10620.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,35.0,35.0,35.0,35.0,40.0,40.0,40.0,80.0,351.0,351.0,574.0,574.0,2277.0,9999.0,9999.0,80.0
Crumbling Farum Azula,Dragonlord Placidusax [Boss],Dragonlord Placidusax,0.0,26651.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,35.0,35.0,35.0,10.0,40.0,40.0,40.0,40.0,1349.0,1349.0,1349.0,1349.0,9999.0,9999.0,9999.0,160.0
Crumbling Farum Azula,Godskin Apostle [Boss],Godskin Apostle,0.0,6668.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,0.0,10.0,-10.0,0.0,20.0,40.0,20.0,40.0,345.0,345.0,251.0,345.0,251.0,9999.0,9999.0,80.0
Crumbling Farum Azula,Godskin Noble [Boss],Godskin Noble,0.0,8000.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,0.0,35.0,-10.0,0.0,20.0,40.0,20.0,40.0,345.0,345.0,251.0,345.0,251.0,9999.0,9999.0,80.0
Crumbling Farum Azula,"Maliketh, The Black Blade [Boss]","Maliketh, The Black Blade",0.0,10620.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,35.0,35.0,35.0,35.0,40.0,40.0,40.0,80.0,351.0,351.0,574.0,574.0,2277.0,9999.0,9999.0,80.0
Deathtouched Catacombs,Black Knife Assassin [Boss],Black Knife Assassin,0.0,1668.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,10.0,10.0,10.0,35.0,20.0,20.0,20.0,40.0,9999.0,9999.0,9999.0,310.0,9999.0,9999.0,9999.0,80.0
Deeproot Depths,Crucible Knight Siluria [Boss],Crucible Knight Siluria,0.0,4606.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,35.0,35.0,35.0,35.0,40.0,20.0,20.0,40.0,561.0,561.0,9999.0,561.0,561.0,9999.0,9999.0,80.0
Deeproot Depths,Lichdragon Fortissax [Boss],Lichdragon Fortissax,0.0,12903.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,35.0,35.0,35.0,10.0,40.0,40.0,80.0,80.0,552.0,552.0,552.0,552.0,9999.0,9999.0,9999.0,700.0
Divine Tower of Caelid,Godskin Apostle [Boss],Godskin Apostle,0.0,13596.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,10.0,-10.0,0.0,20.0,40.0,20.0,40.0,351.0,351.0,255.0,351.0,255.0,9999.0,9999.0,80.0
Divine Tower of East Altus,Fell Twin (Axe) [Boss],Fell Twin (Axe),0.0,6539.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,20.0,247.0,247.0,247.0,247.0,247.0,9999.0,9999.0,65.0
Divine Tower of East Altus,Fell Twin (Curved Sword) [Boss],Fell Twin (Curved Sword),0.0,7871.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,20.0,247.0,247.0,247.0,247.0,247.0,9999.0,9999.0,65.0
Divine Tower of West Altus,Onyx Lord [Boss],Onyx Lord,0.0,4907.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,332.0,332.0,332.0,9999.0,241.0,9999.0,9999.0,65.0
Dragonbarrow Cave,Beastman of Farum Azula (Cleaver) [Boss],Beastman of Farum Azula (Cleaver),0.0,8306.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,-10.0,0.0,0.0,-20.0,20.0,0.0,255.0,255.0,351.0,351.0,191.0,9999.0,9999.0,65.0
Dragonbarrow Cave,Beastman of Farum Azula (Throwing Knife) [Boss],Beastman of Farum Azula (Throwing Knife),0.0,3344.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,-10.0,0.0,0.0,-20.0,20.0,0.0,255.0,255.0,351.0,351.0,191.0,9999.0,9999.0,30.0
Earthbore Cave,Runebear [Boss],Runebear,0.0,3311.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,-10.0,0.0,30.0,-20.0,0.0,0.0,313.0,313.0,512.0,512.0,170.0,9999.0,9999.0,80.0
Gael Tunnel,Magma Wyrm [Boss],Magma Wyrm,0.0,7141.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,10.0,10.0,35.0,10.0,40.0,80.0,40.0,40.0,534.0,534.0,534.0,1150.0,237.0,9999.0,9999.0,120.0
Gaol Cave,Frenzied Duelist [Boss],Frenzied Duelist,0.0,3079.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,237.0,237.0,178.0,237.0,237.0,9999.0,9999.0,65.0
Gelmir Hero's Grave,Red Wolf of the Champion [Boss],Red Wolf of the Champion,0.0,3162.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,-10.0,0.0,40.0,20.0,20.0,20.0,332.0,332.0,543.0,543.0,332.0,9999.0,9999.0,120.0
Giant-Conquering Hero's Grave,Ancient Hero of Zamor [Boss],Ancient Hero of Zamor,0.0,6868.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,10.0,10.0,10.0,0.0,0.0,-20.0,-20.0,0.0,340.0,340.0,556.0,1197.0,247.0,9999.0,9999.0,80.0
Giants' Mountaintop Catacombs,Ulcerated Tree Spirit [Boss],Ulcerated Tree Spirit,0.0,13141.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,20.0,-20.0,20.0,40.0,556.0,556.0,556.0,247.0,9999.0,9999.0,9999.0,120.0
Greyoll's Dragonbarrow - Bestial Sanctum,Black Blade Kindred (Twinblade) [Boss],Black Blade Kindred (Twinblade),0.0,12297.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,10.0,0.0,35.0,35.0,20.0,40.0,40.0,80.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,110.0
Greyoll's Dragonbarrow - Isolated Merchant's Shack,Bell Bearing Hunter [Boss],Bell Bearing Hunter,0.0,10619.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,383.0,383.0,627.0,627.0,383.0,9999.0,9999.0,80.0
"Greyoll's Dragonbarrow - Minor Erdtree, Dragonbarrow Cave Entrance",Putrid Avatar [Boss],Putrid Avatar,0.0,12297.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,10.0,0.0,10.0,10.0,20.0,-100.0,20.0,40.0,9999.0,9999.0,9999.0,383.0,9999.0,9999.0,9999.0,120.0
"Greyoll's Dragonbarrow - Southeast Farum Greatbridge, Lenne's Rise",Flying Dragon Greyll [Boss],Flying Dragon Greyll,0.0,11550.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,35.0,35.0,35.0,10.0,40.0,40.0,40.0,40.0,627.0,627.0,627.0,627.0,9999.0,9999.0,9999.0,120.0
"Greyoll's Dragonbarrow - Southeast Farum Greatbridge, Lenne's Rise",Night's Cavalry (Glaive) [Boss],Night's Cavalry (Glaive),0.0,7089.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,383.0,383.0,627.0,627.0,9999.0,9999.0,9999.0,80.0
Groveside Cave,Beastman of Farum Azula [Boss],Beastman of Farum Azula,0.0,1417.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,0.0,0.0,-10.0,0.0,0.0,-20.0,20.0,0.0,226.0,226.0,310.0,310.0,169.0,9999.0,9999.0,65.0
Highroad Cave,Guardian Golem [Boss],Guardian Golem,0.0,5974.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,10.0,0.0,10.0,10.0,20.0,40.0,40.0,40.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,292.969
Impaler's Catacombs,Burial Watchdog (Sword) [Boss],Burial Watchdog (Sword),0.0,1347.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,35.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
